
--- Testing Combo: B=16, P_max=3.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_16bit_3.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=7.5% | Loss=2.308 | E=36.0J | D=345.0sym
   R4  : Acc=8.0% | Loss=2.307 | E=77.4J | D=659.2sym
   R6  : Acc=9.1% | Loss=2.305 | E=120.3J | D=949.8sym
   R8  : Acc=11.0% | Loss=2.303 | E=161.1J | D=1243.0sym
   R10 : Acc=12.8% | Loss=2.306 | E=206.8J | D=1556.2sym
   R12 : Acc=12.6% | Loss=2.334 | E=244.3J | D=1860.8sym
   R14 : Acc=11.4% | Loss=2.374 | E=278.5J | D=2198.5sym
   R16 : Acc=10.8% | Loss=2.320 | E=325.3J | D=2467.5sym
   R18 : Acc=20.0% | Loss=2.144 | E=366.9J | D=2783.0sym
   R20 : Acc=31.3% | Loss=2.078 | E=406.2J | D=3093.0sym
   R22 : Acc=27.5% | Loss=2.061 | E=450.2J | D=3388.5sym
   R24 : Acc=35.4% | Loss=1.948 | E=485.8J | D=3686.0sym
   R26 : Acc=40.6% | Loss=1.844 | E=523.3J | D=4026.8sym
   R28 : Acc=41.9% | Loss=1.778 | E=561.9J | D=4288.0sym
   R30 : Acc=40.9% | Loss=1.737 | E=601.2J | D=4573.2sym
   R32 : Acc=39.7% | Loss=1.708 | E=632.5J | D=4892.8sym
   R34 : Acc=41.6% | Loss=1.639 | E=679.4J | D=5191.2sym
   R36 : Acc=45.4% | Loss=1.513 | E=714.0J | D=5501.0sym
   R38 : Acc=52.5% | Loss=1.347 | E=752.5J | D=5835.2sym
   R40 : Acc=60.8% | Loss=1.203 | E=791.0J | D=6122.5sym
   R42 : Acc=65.0% | Loss=1.111 | E=833.7J | D=6442.8sym
   R44 : Acc=66.2% | Loss=1.061 | E=872.3J | D=6763.2sym
   R46 : Acc=67.5% | Loss=1.020 | E=917.7J | D=7038.8sym
   R48 : Acc=67.9% | Loss=0.986 | E=954.4J | D=7381.2sym
   R50 : Acc=68.2% | Loss=0.959 | E=999.9J | D=7730.2sym
   R52 : Acc=69.3% | Loss=0.929 | E=1049.7J | D=8031.8sym
   R54 : Acc=70.8% | Loss=0.893 | E=1087.8J | D=8336.0sym
   R56 : Acc=71.8% | Loss=0.866 | E=1134.5J | D=8651.0sym
   R58 : Acc=72.1% | Loss=0.855 | E=1173.1J | D=8980.2sym
   R60 : Acc=72.2% | Loss=0.848 | E=1205.5J | D=9285.2sym
   R62 : Acc=72.7% | Loss=0.828 | E=1252.8J | D=9565.8sym
   R64 : Acc=73.3% | Loss=0.807 | E=1289.0J | D=9855.2sym
   R66 : Acc=74.4% | Loss=0.784 | E=1324.2J | D=10197.8sym
   R68 : Acc=75.0% | Loss=0.768 | E=1356.8J | D=10510.0sym
   R70 : Acc=75.3% | Loss=0.753 | E=1395.3J | D=10807.5sym
   R72 : Acc=75.2% | Loss=0.742 | E=1434.5J | D=11078.5sym
   R74 : Acc=76.0% | Loss=0.724 | E=1486.8J | D=11410.5sym
   R76 : Acc=76.0% | Loss=0.715 | E=1525.3J | D=11732.0sym
   R78 : Acc=76.3% | Loss=0.706 | E=1567.2J | D=12055.5sym
   R80 : Acc=76.9% | Loss=0.690 | E=1621.2J | D=12338.5sym
   R82 : Acc=77.2% | Loss=0.677 | E=1659.7J | D=12608.0sym
   R84 : Acc=78.5% | Loss=0.656 | E=1706.5J | D=12940.0sym
   R86 : Acc=78.6% | Loss=0.653 | E=1746.5J | D=13280.5sym
   R88 : Acc=78.8% | Loss=0.643 | E=1778.5J | D=13595.8sym
   R90 : Acc=79.0% | Loss=0.634 | E=1822.1J | D=13867.8sym
   R92 : Acc=78.5% | Loss=0.635 | E=1860.4J | D=14134.5sym
   R94 : Acc=78.6% | Loss=0.629 | E=1905.8J | D=14412.2sym
   R96 : Acc=78.9% | Loss=0.621 | E=1940.8J | D=14708.8sym
   R98 : Acc=78.8% | Loss=0.620 | E=1979.7J | D=15026.0sym
   R100: Acc=80.7% | Loss=0.587 | E=2025.1J | D=15355.5sym
>> Scheme: IDEAL ...
   R2  : Acc=14.4% | Loss=2.307 | E=0.0J | D=0.0sym
   R4  : Acc=14.0% | Loss=2.303 | E=0.0J | D=0.0sym
   R6  : Acc=13.8% | Loss=2.295 | E=0.0J | D=0.0sym
   R8  : Acc=12.0% | Loss=2.282 | E=0.0J | D=0.0sym
   R10 : Acc=17.4% | Loss=2.256 | E=0.0J | D=0.0sym
   R12 : Acc=23.0% | Loss=2.205 | E=0.0J | D=0.0sym
   R14 : Acc=27.1% | Loss=2.158 | E=0.0J | D=0.0sym
   R16 : Acc=28.0% | Loss=2.037 | E=0.0J | D=0.0sym
   R18 : Acc=35.5% | Loss=1.909 | E=0.0J | D=0.0sym
   R20 : Acc=43.9% | Loss=1.825 | E=0.0J | D=0.0sym
   R22 : Acc=48.4% | Loss=1.756 | E=0.0J | D=0.0sym
   R24 : Acc=47.0% | Loss=1.695 | E=0.0J | D=0.0sym
   R26 : Acc=45.9% | Loss=1.628 | E=0.0J | D=0.0sym
   R28 : Acc=45.8% | Loss=1.548 | E=0.0J | D=0.0sym
   R30 : Acc=47.9% | Loss=1.459 | E=0.0J | D=0.0sym
   R32 : Acc=53.4% | Loss=1.355 | E=0.0J | D=0.0sym
   R34 : Acc=59.1% | Loss=1.251 | E=0.0J | D=0.0sym
   R36 : Acc=62.3% | Loss=1.163 | E=0.0J | D=0.0sym
   R38 : Acc=65.0% | Loss=1.084 | E=0.0J | D=0.0sym
   R40 : Acc=66.5% | Loss=1.027 | E=0.0J | D=0.0sym
   R42 : Acc=65.8% | Loss=1.006 | E=0.0J | D=0.0sym
   R44 : Acc=65.9% | Loss=0.979 | E=0.0J | D=0.0sym
   R46 : Acc=67.1% | Loss=0.944 | E=0.0J | D=0.0sym
   R48 : Acc=69.0% | Loss=0.914 | E=0.0J | D=0.0sym
   R50 : Acc=70.6% | Loss=0.884 | E=0.0J | D=0.0sym
   R52 : Acc=72.1% | Loss=0.851 | E=0.0J | D=0.0sym
   R54 : Acc=73.2% | Loss=0.818 | E=0.0J | D=0.0sym
   R56 : Acc=74.3% | Loss=0.785 | E=0.0J | D=0.0sym
   R58 : Acc=75.5% | Loss=0.754 | E=0.0J | D=0.0sym
   R60 : Acc=76.2% | Loss=0.726 | E=0.0J | D=0.0sym
   R62 : Acc=77.0% | Loss=0.701 | E=0.0J | D=0.0sym
   R64 : Acc=77.4% | Loss=0.680 | E=0.0J | D=0.0sym
   R66 : Acc=77.8% | Loss=0.663 | E=0.0J | D=0.0sym
   R68 : Acc=78.3% | Loss=0.648 | E=0.0J | D=0.0sym
   R70 : Acc=78.7% | Loss=0.635 | E=0.0J | D=0.0sym
   R72 : Acc=79.1% | Loss=0.623 | E=0.0J | D=0.0sym
   R74 : Acc=79.5% | Loss=0.611 | E=0.0J | D=0.0sym
