
--- Testing Combo: B=4, P_max=1.6W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_4bit_1.6w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=9.3% | Loss=2.306 | E=21.8J | D=118.8sym
   R4  : Acc=9.9% | Loss=2.305 | E=41.5J | D=241.5sym
   R6  : Acc=10.7% | Loss=2.301 | E=65.2J | D=355.5sym
   R8  : Acc=13.3% | Loss=2.294 | E=84.2J | D=487.0sym
   R10 : Acc=14.5% | Loss=2.285 | E=105.4J | D=608.0sym
   R12 : Acc=15.6% | Loss=2.279 | E=125.0J | D=737.8sym
   R14 : Acc=12.3% | Loss=2.273 | E=146.3J | D=866.5sym
   R16 : Acc=9.8% | Loss=2.238 | E=169.6J | D=983.8sym
   R18 : Acc=17.8% | Loss=2.151 | E=193.5J | D=1107.8sym
   R20 : Acc=33.6% | Loss=2.079 | E=212.4J | D=1229.8sym
   R22 : Acc=38.8% | Loss=2.025 | E=229.2J | D=1360.8sym
   R24 : Acc=46.9% | Loss=1.975 | E=251.3J | D=1482.5sym
   R26 : Acc=47.1% | Loss=1.920 | E=271.2J | D=1606.0sym
   R28 : Acc=46.1% | Loss=1.853 | E=297.8J | D=1735.2sym
   R30 : Acc=46.0% | Loss=1.779 | E=318.3J | D=1863.0sym
   R32 : Acc=51.2% | Loss=1.691 | E=338.1J | D=1984.8sym
   R34 : Acc=56.5% | Loss=1.599 | E=353.8J | D=2119.0sym
   R36 : Acc=57.0% | Loss=1.510 | E=376.6J | D=2235.8sym
   R38 : Acc=54.6% | Loss=1.432 | E=403.0J | D=2350.5sym
   R40 : Acc=52.6% | Loss=1.370 | E=429.9J | D=2476.2sym
   R42 : Acc=55.3% | Loss=1.293 | E=449.2J | D=2601.8sym
   R44 : Acc=63.1% | Loss=1.191 | E=471.3J | D=2721.0sym
   R46 : Acc=66.9% | Loss=1.117 | E=490.7J | D=2845.5sym
   R48 : Acc=65.2% | Loss=1.087 | E=510.4J | D=2968.0sym
