
--- Testing Combo: B=16, P_max=5.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_16bit_5.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=10.1% | Loss=2.306 | E=56.1J | D=295.8sym
   R4  : Acc=10.1% | Loss=2.304 | E=115.9J | D=539.2sym
   R6  : Acc=10.1% | Loss=2.303 | E=175.9J | D=781.2sym
   R8  : Acc=10.1% | Loss=2.312 | E=224.9J | D=1045.0sym
   R10 : Acc=10.1% | Loss=2.341 | E=285.2J | D=1291.0sym
   R12 : Acc=17.4% | Loss=2.282 | E=330.5J | D=1584.5sym
   R14 : Acc=30.2% | Loss=2.139 | E=385.4J | D=1855.5sym
   R16 : Acc=34.5% | Loss=2.083 | E=442.0J | D=2082.2sym
   R18 : Acc=37.4% | Loss=2.004 | E=501.5J | D=2333.0sym
   R20 : Acc=41.0% | Loss=1.887 | E=558.3J | D=2588.2sym
   R22 : Acc=44.1% | Loss=1.772 | E=627.3J | D=2871.0sym
   R24 : Acc=48.2% | Loss=1.665 | E=682.7J | D=3142.8sym
   R26 : Acc=50.2% | Loss=1.593 | E=738.7J | D=3406.8sym
   R28 : Acc=49.7% | Loss=1.539 | E=794.3J | D=3680.2sym
   R30 : Acc=50.8% | Loss=1.478 | E=852.8J | D=3910.0sym
   R32 : Acc=53.2% | Loss=1.397 | E=918.4J | D=4162.2sym
   R34 : Acc=58.5% | Loss=1.276 | E=970.1J | D=4391.8sym
   R36 : Acc=61.9% | Loss=1.167 | E=1029.0J | D=4621.5sym
   R38 : Acc=62.8% | Loss=1.098 | E=1092.9J | D=4865.5sym
   R40 : Acc=63.5% | Loss=1.054 | E=1169.7J | D=5096.5sym
   R42 : Acc=64.5% | Loss=1.015 | E=1240.9J | D=5358.8sym
   R44 : Acc=65.9% | Loss=0.973 | E=1310.3J | D=5573.0sym
   R46 : Acc=67.3% | Loss=0.940 | E=1371.2J | D=5819.2sym
   R48 : Acc=67.9% | Loss=0.915 | E=1437.5J | D=6088.0sym
   R50 : Acc=69.5% | Loss=0.880 | E=1502.0J | D=6367.2sym
   R52 : Acc=70.7% | Loss=0.852 | E=1564.5J | D=6634.8sym
   R54 : Acc=71.5% | Loss=0.834 | E=1619.5J | D=6879.5sym
   R56 : Acc=71.9% | Loss=0.819 | E=1674.5J | D=7160.2sym
   R58 : Acc=72.8% | Loss=0.795 | E=1740.2J | D=7381.0sym
   R60 : Acc=73.8% | Loss=0.771 | E=1791.3J | D=7610.0sym
   R62 : Acc=73.9% | Loss=0.758 | E=1835.2J | D=7858.0sym
   R64 : Acc=74.3% | Loss=0.748 | E=1901.5J | D=8148.2sym
   R66 : Acc=75.0% | Loss=0.724 | E=1968.3J | D=8380.8sym
   R68 : Acc=75.6% | Loss=0.709 | E=2032.8J | D=8638.2sym
   R70 : Acc=75.8% | Loss=0.698 | E=2092.1J | D=8917.0sym
   R72 : Acc=76.1% | Loss=0.690 | E=2153.2J | D=9200.5sym
   R74 : Acc=76.4% | Loss=0.676 | E=2213.2J | D=9419.8sym
   R76 : Acc=77.0% | Loss=0.656 | E=2274.4J | D=9658.5sym
   R78 : Acc=77.6% | Loss=0.642 | E=2333.2J | D=9908.0sym
   R80 : Acc=77.6% | Loss=0.633 | E=2386.9J | D=10150.8sym
   R82 : Acc=78.1% | Loss=0.622 | E=2444.3J | D=10408.2sym
   R84 : Acc=78.9% | Loss=0.607 | E=2500.5J | D=10703.5sym
   R86 : Acc=79.2% | Loss=0.600 | E=2559.4J | D=11016.5sym
   R88 : Acc=79.5% | Loss=0.595 | E=2625.3J | D=11281.8sym
   R90 : Acc=79.5% | Loss=0.587 | E=2683.3J | D=11532.2sym
   R92 : Acc=80.0% | Loss=0.581 | E=2744.0J | D=11837.0sym
   R94 : Acc=80.0% | Loss=0.577 | E=2813.0J | D=12104.8sym
   R96 : Acc=80.1% | Loss=0.573 | E=2880.8J | D=12366.2sym
   R98 : Acc=80.0% | Loss=0.570 | E=2925.1J | D=12652.2sym
   R100: Acc=80.0% | Loss=0.569 | E=3000.0J | D=12906.0sym
>> Scheme: IDEAL ...
