
--- Testing Combo: B=4, P_max=2.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_4bit_2.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=10.3% | Loss=2.304 | E=27.7J | D=107.5sym
   R4  : Acc=10.8% | Loss=2.301 | E=56.7J | D=223.5sym
   R6  : Acc=16.0% | Loss=2.299 | E=86.4J | D=342.5sym
   R8  : Acc=10.9% | Loss=2.300 | E=119.5J | D=462.0sym
   R10 : Acc=16.6% | Loss=2.304 | E=143.1J | D=573.8sym
   R12 : Acc=17.0% | Loss=2.302 | E=172.2J | D=689.0sym
   R14 : Acc=19.9% | Loss=2.267 | E=199.9J | D=807.5sym
   R16 : Acc=21.5% | Loss=2.265 | E=225.6J | D=921.0sym
   R18 : Acc=20.1% | Loss=2.302 | E=250.4J | D=1042.2sym
   R20 : Acc=25.2% | Loss=2.184 | E=276.6J | D=1168.0sym
   R22 : Acc=33.2% | Loss=1.999 | E=308.8J | D=1284.5sym
   R24 : Acc=40.6% | Loss=1.906 | E=333.2J | D=1399.0sym
   R26 : Acc=46.7% | Loss=1.869 | E=356.1J | D=1519.2sym
   R28 : Acc=49.8% | Loss=1.830 | E=378.8J | D=1630.5sym
   R30 : Acc=50.2% | Loss=1.765 | E=406.2J | D=1745.5sym
   R32 : Acc=49.9% | Loss=1.667 | E=433.2J | D=1846.5sym
   R34 : Acc=50.7% | Loss=1.535 | E=463.5J | D=1957.8sym
   R36 : Acc=55.7% | Loss=1.390 | E=493.3J | D=2064.5sym
   R38 : Acc=59.0% | Loss=1.274 | E=520.1J | D=2178.5sym
   R40 : Acc=62.1% | Loss=1.171 | E=546.7J | D=2286.5sym
   R42 : Acc=63.7% | Loss=1.099 | E=567.9J | D=2410.0sym
   R44 : Acc=65.5% | Loss=1.042 | E=599.9J | D=2534.2sym
   R46 : Acc=67.5% | Loss=0.998 | E=623.7J | D=2658.5sym
   R48 : Acc=68.3% | Loss=0.972 | E=650.3J | D=2775.0sym
