
--- Testing Combo: B=16, P_max=1.6W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_16bit_1.6w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=12.7% | Loss=2.294 | E=24.3J | D=369.5sym
   R4  : Acc=23.8% | Loss=2.276 | E=48.1J | D=763.5sym
   R6  : Acc=41.5% | Loss=2.239 | E=68.7J | D=1165.0sym
   R8  : Acc=57.7% | Loss=2.109 | E=95.4J | D=1470.8sym
   R10 : Acc=70.3% | Loss=1.745 | E=114.1J | D=1913.0sym
   R12 : Acc=76.9% | Loss=1.137 | E=132.9J | D=2365.8sym
   R14 : Acc=80.2% | Loss=0.664 | E=154.7J | D=2740.2sym
   R16 : Acc=82.6% | Loss=0.551 | E=179.9J | D=3116.2sym
   R18 : Acc=84.4% | Loss=0.591 | E=193.2J | D=3561.8sym
   R20 : Acc=85.7% | Loss=0.608 | E=213.9J | D=3923.8sym
   R22 : Acc=86.8% | Loss=0.543 | E=233.3J | D=4355.5sym
   R24 : Acc=88.1% | Loss=0.426 | E=256.8J | D=4716.2sym
   R26 : Acc=89.6% | Loss=0.335 | E=275.4J | D=5111.0sym
   R28 : Acc=91.2% | Loss=0.291 | E=301.7J | D=5503.0sym
   R30 : Acc=91.9% | Loss=0.279 | E=319.2J | D=5945.0sym
   R32 : Acc=92.4% | Loss=0.267 | E=337.0J | D=6342.0sym
   R34 : Acc=93.2% | Loss=0.242 | E=357.7J | D=6749.8sym
   R36 : Acc=93.8% | Loss=0.213 | E=378.3J | D=7159.8sym
   R38 : Acc=94.3% | Loss=0.189 | E=401.2J | D=7523.8sym
   R40 : Acc=94.7% | Loss=0.172 | E=426.2J | D=7879.8sym
   R42 : Acc=94.9% | Loss=0.162 | E=451.6J | D=8229.8sym
   R44 : Acc=95.1% | Loss=0.154 | E=474.7J | D=8640.8sym
   R46 : Acc=95.3% | Loss=0.146 | E=496.7J | D=9035.8sym
   R48 : Acc=95.5% | Loss=0.138 | E=512.6J | D=9505.0sym
   R50 : Acc=95.8% | Loss=0.130 | E=536.9J | D=9907.2sym
   R52 : Acc=96.1% | Loss=0.122 | E=560.1J | D=10361.0sym
   R54 : Acc=96.3% | Loss=0.116 | E=573.7J | D=10821.0sym
   R56 : Acc=96.4% | Loss=0.112 | E=591.7J | D=11222.2sym
   R58 : Acc=96.5% | Loss=0.109 | E=615.3J | D=11580.8sym
   R60 : Acc=96.7% | Loss=0.106 | E=636.2J | D=11930.5sym
   R62 : Acc=96.9% | Loss=0.103 | E=654.5J | D=12345.2sym
   R64 : Acc=97.0% | Loss=0.100 | E=674.5J | D=12737.0sym
   R66 : Acc=97.0% | Loss=0.098 | E=691.7J | D=13156.8sym
   R68 : Acc=97.0% | Loss=0.095 | E=714.9J | D=13569.2sym
   R70 : Acc=97.1% | Loss=0.092 | E=740.0J | D=13963.2sym
   R72 : Acc=97.2% | Loss=0.090 | E=757.5J | D=14412.0sym
   R74 : Acc=97.3% | Loss=0.089 | E=774.5J | D=14838.8sym
   R76 : Acc=97.3% | Loss=0.087 | E=796.4J | D=15234.2sym
   R78 : Acc=97.3% | Loss=0.085 | E=813.4J | D=15642.0sym
   R80 : Acc=97.4% | Loss=0.083 | E=830.8J | D=16072.0sym
   R82 : Acc=97.4% | Loss=0.081 | E=852.6J | D=16446.0sym
   R84 : Acc=97.5% | Loss=0.080 | E=877.1J | D=16817.0sym
   R86 : Acc=97.6% | Loss=0.078 | E=906.5J | D=17134.2sym
   R88 : Acc=97.6% | Loss=0.078 | E=930.4J | D=17521.8sym
   R90 : Acc=97.6% | Loss=0.077 | E=949.9J | D=17948.0sym
   R92 : Acc=97.6% | Loss=0.076 | E=977.8J | D=18302.2sym
   R94 : Acc=97.7% | Loss=0.074 | E=1000.2J | D=18703.8sym
   R96 : Acc=97.7% | Loss=0.072 | E=1027.3J | D=19113.5sym
   R98 : Acc=97.8% | Loss=0.072 | E=1050.5J | D=19503.5sym
   R100: Acc=97.8% | Loss=0.071 | E=1071.4J | D=19928.8sym
>> Scheme: IDEAL ...
   R2  : Acc=11.4% | Loss=2.297 | E=0.0J | D=0.0sym
   R4  : Acc=27.1% | Loss=2.268 | E=0.0J | D=0.0sym
   R6  : Acc=43.1% | Loss=2.193 | E=0.0J | D=0.0sym
   R8  : Acc=53.8% | Loss=1.907 | E=0.0J | D=0.0sym
   R10 : Acc=70.3% | Loss=1.132 | E=0.0J | D=0.0sym
   R12 : Acc=77.2% | Loss=0.709 | E=0.0J | D=0.0sym
   R14 : Acc=79.5% | Loss=0.876 | E=0.0J | D=0.0sym
   R16 : Acc=82.3% | Loss=0.914 | E=0.0J | D=0.0sym
   R18 : Acc=86.0% | Loss=0.645 | E=0.0J | D=0.0sym
   R20 : Acc=88.2% | Loss=0.424 | E=0.0J | D=0.0sym
   R22 : Acc=89.2% | Loss=0.360 | E=0.0J | D=0.0sym
   R24 : Acc=89.3% | Loss=0.368 | E=0.0J | D=0.0sym
   R26 : Acc=90.7% | Loss=0.326 | E=0.0J | D=0.0sym
   R28 : Acc=92.6% | Loss=0.254 | E=0.0J | D=0.0sym
   R30 : Acc=93.7% | Loss=0.203 | E=0.0J | D=0.0sym
   R32 : Acc=94.2% | Loss=0.184 | E=0.0J | D=0.0sym
   R34 : Acc=94.5% | Loss=0.176 | E=0.0J | D=0.0sym
   R36 : Acc=94.8% | Loss=0.164 | E=0.0J | D=0.0sym
   R38 : Acc=95.4% | Loss=0.149 | E=0.0J | D=0.0sym
   R40 : Acc=95.8% | Loss=0.136 | E=0.0J | D=0.0sym
   R42 : Acc=96.1% | Loss=0.128 | E=0.0J | D=0.0sym
   R44 : Acc=96.1% | Loss=0.122 | E=0.0J | D=0.0sym
   R46 : Acc=96.3% | Loss=0.116 | E=0.0J | D=0.0sym
   R48 : Acc=96.5% | Loss=0.110 | E=0.0J | D=0.0sym
   R50 : Acc=96.7% | Loss=0.105 | E=0.0J | D=0.0sym
   R52 : Acc=96.9% | Loss=0.101 | E=0.0J | D=0.0sym
