
--- Testing Combo: B=16, P_max=1.6W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_16bit_1.6w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=13.3% | Loss=2.303 | E=20.5J | D=357.0sym
   R4  : Acc=13.5% | Loss=2.302 | E=44.6J | D=738.2sym
   R6  : Acc=13.2% | Loss=2.300 | E=66.4J | D=1128.8sym
   R8  : Acc=13.9% | Loss=2.298 | E=87.6J | D=1470.2sym
   R10 : Acc=13.8% | Loss=2.295 | E=105.8J | D=1874.5sym
   R12 : Acc=10.6% | Loss=2.296 | E=130.6J | D=2265.0sym
   R14 : Acc=9.1% | Loss=2.316 | E=152.9J | D=2638.2sym
   R16 : Acc=8.9% | Loss=2.363 | E=169.5J | D=3019.0sym
   R18 : Acc=9.1% | Loss=2.414 | E=193.7J | D=3367.0sym
   R20 : Acc=12.8% | Loss=2.376 | E=220.4J | D=3722.5sym
   R22 : Acc=20.2% | Loss=2.201 | E=240.3J | D=4114.2sym
   R24 : Acc=28.8% | Loss=2.079 | E=256.4J | D=4537.8sym
   R26 : Acc=30.2% | Loss=2.071 | E=275.3J | D=4919.5sym
   R28 : Acc=32.6% | Loss=2.035 | E=299.8J | D=5303.2sym
   R30 : Acc=36.0% | Loss=1.939 | E=315.5J | D=5776.8sym
   R32 : Acc=42.1% | Loss=1.855 | E=334.6J | D=6208.2sym
   R34 : Acc=49.2% | Loss=1.777 | E=354.3J | D=6614.8sym
   R36 : Acc=54.4% | Loss=1.694 | E=382.4J | D=6994.5sym
   R38 : Acc=56.5% | Loss=1.617 | E=405.2J | D=7365.0sym
   R40 : Acc=55.6% | Loss=1.553 | E=425.8J | D=7724.5sym
   R42 : Acc=55.4% | Loss=1.486 | E=449.4J | D=8082.8sym
   R44 : Acc=57.3% | Loss=1.397 | E=470.2J | D=8443.8sym
   R46 : Acc=60.1% | Loss=1.306 | E=493.5J | D=8871.5sym
   R48 : Acc=65.9% | Loss=1.207 | E=509.6J | D=9288.8sym
   R50 : Acc=67.6% | Loss=1.130 | E=529.7J | D=9710.8sym
   R52 : Acc=67.8% | Loss=1.061 | E=548.7J | D=10106.8sym
   R54 : Acc=70.3% | Loss=0.983 | E=565.0J | D=10531.8sym
   R56 : Acc=71.5% | Loss=0.940 | E=579.2J | D=10959.2sym
   R58 : Acc=71.8% | Loss=0.915 | E=601.1J | D=11358.5sym
   R60 : Acc=71.6% | Loss=0.901 | E=629.1J | D=11693.5sym
