
--- Testing Combo: B=8, P_max=1.6W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_8bit_1.6w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=10.8% | Loss=2.293 | E=27.7J | D=209.8sym
   R4  : Acc=29.7% | Loss=2.264 | E=50.7J | D=428.5sym
   R6  : Acc=35.7% | Loss=2.205 | E=72.3J | D=633.5sym
   R8  : Acc=51.1% | Loss=2.048 | E=90.4J | D=846.8sym
   R10 : Acc=59.4% | Loss=1.689 | E=111.8J | D=1082.2sym
   R12 : Acc=66.5% | Loss=1.166 | E=128.9J | D=1313.0sym
   R14 : Acc=74.3% | Loss=0.794 | E=148.5J | D=1541.5sym
   R16 : Acc=80.7% | Loss=0.616 | E=171.4J | D=1751.2sym
   R18 : Acc=84.8% | Loss=0.565 | E=189.2J | D=1964.5sym
   R20 : Acc=87.0% | Loss=0.532 | E=214.3J | D=2179.0sym
   R22 : Acc=88.4% | Loss=0.463 | E=235.8J | D=2390.0sym
   R24 : Acc=89.7% | Loss=0.370 | E=262.5J | D=2602.0sym
   R26 : Acc=90.7% | Loss=0.314 | E=285.1J | D=2828.8sym
   R28 : Acc=91.2% | Loss=0.299 | E=304.8J | D=3033.5sym
   R30 : Acc=91.7% | Loss=0.292 | E=321.6J | D=3265.2sym
   R32 : Acc=92.5% | Loss=0.267 | E=340.5J | D=3485.2sym
   R34 : Acc=93.4% | Loss=0.233 | E=360.3J | D=3686.8sym
   R36 : Acc=93.8% | Loss=0.203 | E=378.7J | D=3895.8sym
   R38 : Acc=94.1% | Loss=0.182 | E=402.0J | D=4125.0sym
   R40 : Acc=94.6% | Loss=0.168 | E=426.5J | D=4330.2sym
   R42 : Acc=94.9% | Loss=0.157 | E=446.1J | D=4561.8sym
   R44 : Acc=95.2% | Loss=0.148 | E=465.0J | D=4804.8sym
   R46 : Acc=95.5% | Loss=0.140 | E=489.7J | D=5003.2sym
   R48 : Acc=95.7% | Loss=0.133 | E=509.4J | D=5210.5sym
   R50 : Acc=95.8% | Loss=0.126 | E=537.9J | D=5407.2sym
   R52 : Acc=96.0% | Loss=0.120 | E=562.6J | D=5625.2sym
   R54 : Acc=96.2% | Loss=0.115 | E=586.9J | D=5844.8sym
   R56 : Acc=96.4% | Loss=0.111 | E=609.9J | D=6052.2sym
   R58 : Acc=96.6% | Loss=0.108 | E=627.9J | D=6285.8sym
   R60 : Acc=96.8% | Loss=0.104 | E=652.2J | D=6507.0sym
   R62 : Acc=96.8% | Loss=0.101 | E=674.2J | D=6721.5sym
   R64 : Acc=97.0% | Loss=0.097 | E=695.2J | D=6924.5sym
   R66 : Acc=97.0% | Loss=0.094 | E=714.9J | D=7126.8sym
   R68 : Acc=97.2% | Loss=0.090 | E=735.4J | D=7354.5sym
   R70 : Acc=97.2% | Loss=0.087 | E=757.1J | D=7549.5sym
   R72 : Acc=97.2% | Loss=0.085 | E=781.5J | D=7735.0sym
   R74 : Acc=97.3% | Loss=0.083 | E=802.4J | D=7940.5sym
   R76 : Acc=97.3% | Loss=0.081 | E=828.4J | D=8132.0sym
   R78 : Acc=97.4% | Loss=0.080 | E=848.3J | D=8370.2sym
   R80 : Acc=97.5% | Loss=0.078 | E=868.8J | D=8581.2sym
   R82 : Acc=97.5% | Loss=0.076 | E=889.9J | D=8768.8sym
   R84 : Acc=97.5% | Loss=0.074 | E=911.3J | D=8985.2sym
   R86 : Acc=97.5% | Loss=0.073 | E=933.0J | D=9176.2sym
   R88 : Acc=97.6% | Loss=0.072 | E=953.3J | D=9393.2sym
   R90 : Acc=97.6% | Loss=0.071 | E=977.7J | D=9612.8sym
   R92 : Acc=97.7% | Loss=0.070 | E=1002.1J | D=9818.0sym
   R94 : Acc=97.8% | Loss=0.068 | E=1029.5J | D=10028.2sym
   R96 : Acc=97.9% | Loss=0.067 | E=1056.6J | D=10243.2sym
   R98 : Acc=97.9% | Loss=0.065 | E=1073.8J | D=10455.5sym
   R100: Acc=97.9% | Loss=0.064 | E=1088.0J | D=10683.8sym
>> Scheme: IDEAL ...
   R2  : Acc=10.4% | Loss=2.301 | E=0.0J | D=0.0sym
   R4  : Acc=16.5% | Loss=2.294 | E=0.0J | D=0.0sym
   R6  : Acc=21.7% | Loss=2.283 | E=0.0J | D=0.0sym
   R8  : Acc=25.5% | Loss=2.261 | E=0.0J | D=0.0sym
   R10 : Acc=41.5% | Loss=2.202 | E=0.0J | D=0.0sym
   R12 : Acc=56.3% | Loss=1.969 | E=0.0J | D=0.0sym
   R14 : Acc=65.4% | Loss=1.307 | E=0.0J | D=0.0sym
   R16 : Acc=74.0% | Loss=0.775 | E=0.0J | D=0.0sym
   R18 : Acc=78.6% | Loss=0.757 | E=0.0J | D=0.0sym
   R20 : Acc=83.5% | Loss=0.768 | E=0.0J | D=0.0sym
   R22 : Acc=87.3% | Loss=0.602 | E=0.0J | D=0.0sym
   R24 : Acc=89.3% | Loss=0.423 | E=0.0J | D=0.0sym
   R26 : Acc=88.9% | Loss=0.370 | E=0.0J | D=0.0sym
