
--- Testing Combo: B=16, P_max=3.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_16bit_3.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=13.4% | Loss=2.288 | E=51.4J | D=290.0sym
   R4  : Acc=23.6% | Loss=2.253 | E=84.3J | D=597.5sym
   R6  : Acc=38.6% | Loss=2.149 | E=123.2J | D=902.5sym
   R8  : Acc=59.1% | Loss=1.787 | E=159.9J | D=1201.2sym
   R10 : Acc=69.8% | Loss=1.096 | E=203.0J | D=1487.0sym
   R12 : Acc=77.9% | Loss=0.669 | E=244.2J | D=1808.5sym
   R14 : Acc=81.1% | Loss=0.669 | E=284.6J | D=2082.2sym
   R16 : Acc=82.5% | Loss=0.794 | E=320.8J | D=2399.2sym
   R18 : Acc=84.5% | Loss=0.728 | E=360.9J | D=2681.2sym
   R20 : Acc=86.5% | Loss=0.522 | E=400.5J | D=2939.2sym
   R22 : Acc=87.7% | Loss=0.391 | E=441.0J | D=3219.2sym
   R24 : Acc=89.1% | Loss=0.345 | E=482.4J | D=3526.5sym
   R26 : Acc=90.3% | Loss=0.325 | E=527.3J | D=3780.8sym
   R28 : Acc=91.4% | Loss=0.293 | E=562.5J | D=4134.2sym
   R30 : Acc=92.3% | Loss=0.255 | E=598.4J | D=4426.2sym
   R32 : Acc=93.0% | Loss=0.224 | E=633.9J | D=4723.2sym
   R34 : Acc=93.4% | Loss=0.205 | E=671.4J | D=5035.2sym
   R36 : Acc=93.9% | Loss=0.193 | E=726.1J | D=5300.5sym
   R38 : Acc=94.1% | Loss=0.183 | E=771.0J | D=5603.2sym
   R40 : Acc=94.4% | Loss=0.172 | E=810.0J | D=5912.2sym
   R42 : Acc=94.9% | Loss=0.161 | E=846.0J | D=6200.5sym
   R44 : Acc=95.2% | Loss=0.150 | E=885.7J | D=6579.2sym
   R46 : Acc=95.5% | Loss=0.141 | E=923.9J | D=6834.0sym
   R48 : Acc=95.7% | Loss=0.134 | E=965.5J | D=7174.2sym
   R50 : Acc=95.9% | Loss=0.128 | E=1003.8J | D=7549.8sym
   R52 : Acc=96.0% | Loss=0.122 | E=1046.9J | D=7815.8sym
   R54 : Acc=96.2% | Loss=0.117 | E=1087.1J | D=8170.8sym
   R56 : Acc=96.4% | Loss=0.111 | E=1129.5J | D=8518.2sym
   R58 : Acc=96.5% | Loss=0.106 | E=1176.8J | D=8799.8sym
   R60 : Acc=96.6% | Loss=0.102 | E=1210.2J | D=9138.0sym
   R62 : Acc=96.8% | Loss=0.099 | E=1248.1J | D=9439.5sym
   R64 : Acc=97.0% | Loss=0.095 | E=1288.6J | D=9778.8sym
   R66 : Acc=97.1% | Loss=0.093 | E=1324.5J | D=10058.2sym
   R68 : Acc=97.1% | Loss=0.090 | E=1365.1J | D=10372.5sym
   R70 : Acc=97.2% | Loss=0.088 | E=1408.9J | D=10641.0sym
   R72 : Acc=97.2% | Loss=0.086 | E=1449.0J | D=10944.0sym
   R74 : Acc=97.4% | Loss=0.084 | E=1482.2J | D=11252.8sym
   R76 : Acc=97.4% | Loss=0.081 | E=1524.8J | D=11542.0sym
   R78 : Acc=97.3% | Loss=0.079 | E=1560.5J | D=11824.2sym
   R80 : Acc=97.4% | Loss=0.077 | E=1589.5J | D=12199.5sym
   R82 : Acc=97.5% | Loss=0.074 | E=1628.2J | D=12528.8sym
   R84 : Acc=97.6% | Loss=0.072 | E=1674.9J | D=12807.5sym
   R86 : Acc=97.7% | Loss=0.071 | E=1711.5J | D=13146.5sym
   R88 : Acc=97.7% | Loss=0.069 | E=1746.5J | D=13494.5sym
