
--- Testing Combo: B=4, P_max=3.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_4bit_3.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=9.8% | Loss=2.294 | E=42.3J | D=95.5sym
   R4  : Acc=10.5% | Loss=2.272 | E=85.8J | D=190.2sym
   R6  : Acc=40.5% | Loss=2.227 | E=126.0J | D=291.8sym
   R8  : Acc=56.2% | Loss=2.101 | E=163.5J | D=387.0sym
   R10 : Acc=66.1% | Loss=1.671 | E=201.5J | D=478.5sym
   R12 : Acc=74.8% | Loss=0.941 | E=239.5J | D=586.2sym
   R14 : Acc=80.6% | Loss=0.600 | E=273.5J | D=679.0sym
   R16 : Acc=85.2% | Loss=0.592 | E=315.8J | D=774.5sym
   R18 : Acc=87.9% | Loss=0.583 | E=355.4J | D=872.2sym
   R20 : Acc=89.5% | Loss=0.503 | E=394.5J | D=962.2sym
   R22 : Acc=90.7% | Loss=0.381 | E=436.7J | D=1066.0sym
   R24 : Acc=91.9% | Loss=0.286 | E=478.8J | D=1165.0sym
   R26 : Acc=92.8% | Loss=0.248 | E=528.7J | D=1267.5sym
   R28 : Acc=93.4% | Loss=0.242 | E=563.9J | D=1369.0sym
   R30 : Acc=94.0% | Loss=0.227 | E=599.7J | D=1467.0sym
   R32 : Acc=94.5% | Loss=0.198 | E=639.3J | D=1570.2sym
   R34 : Acc=95.1% | Loss=0.172 | E=677.9J | D=1674.2sym
   R36 : Acc=95.5% | Loss=0.155 | E=719.5J | D=1780.8sym
   R38 : Acc=95.7% | Loss=0.144 | E=760.3J | D=1879.8sym
   R40 : Acc=95.9% | Loss=0.134 | E=799.5J | D=1979.8sym
   R42 : Acc=96.1% | Loss=0.124 | E=845.6J | D=2086.2sym
   R44 : Acc=96.3% | Loss=0.115 | E=883.9J | D=2189.5sym
   R46 : Acc=96.7% | Loss=0.107 | E=929.5J | D=2296.8sym
   R48 : Acc=96.8% | Loss=0.100 | E=965.7J | D=2402.2sym
   R50 : Acc=97.0% | Loss=0.096 | E=1006.3J | D=2512.0sym
   R52 : Acc=97.1% | Loss=0.092 | E=1042.6J | D=2606.8sym
   R54 : Acc=97.2% | Loss=0.088 | E=1085.9J | D=2704.0sym
   R56 : Acc=97.3% | Loss=0.085 | E=1122.5J | D=2804.0sym
   R58 : Acc=97.4% | Loss=0.083 | E=1165.6J | D=2910.8sym
   R60 : Acc=97.6% | Loss=0.080 | E=1201.3J | D=3013.8sym
   R62 : Acc=97.6% | Loss=0.078 | E=1246.1J | D=3123.8sym
   R64 : Acc=97.7% | Loss=0.076 | E=1291.2J | D=3215.2sym
   R66 : Acc=97.7% | Loss=0.074 | E=1330.7J | D=3315.2sym
   R68 : Acc=97.7% | Loss=0.073 | E=1368.9J | D=3416.2sym
   R70 : Acc=97.8% | Loss=0.071 | E=1402.8J | D=3510.8sym
   R72 : Acc=97.9% | Loss=0.069 | E=1440.8J | D=3605.2sym
   R74 : Acc=98.0% | Loss=0.068 | E=1473.2J | D=3703.2sym
   R76 : Acc=98.0% | Loss=0.067 | E=1517.7J | D=3796.0sym
   R78 : Acc=98.0% | Loss=0.066 | E=1559.0J | D=3894.0sym
   R80 : Acc=98.0% | Loss=0.065 | E=1604.6J | D=3994.2sym
   R82 : Acc=98.1% | Loss=0.064 | E=1646.6J | D=4087.2sym
   R84 : Acc=98.1% | Loss=0.062 | E=1690.1J | D=4184.2sym
   R86 : Acc=98.2% | Loss=0.061 | E=1735.5J | D=4285.5sym
   R88 : Acc=98.2% | Loss=0.060 | E=1781.0J | D=4387.2sym
   R90 : Acc=98.2% | Loss=0.059 | E=1822.4J | D=4493.5sym
   R92 : Acc=98.2% | Loss=0.058 | E=1865.3J | D=4589.2sym
   R94 : Acc=98.2% | Loss=0.057 | E=1902.1J | D=4693.8sym
   R96 : Acc=98.2% | Loss=0.057 | E=1946.7J | D=4787.5sym
   R98 : Acc=98.2% | Loss=0.056 | E=1982.8J | D=4898.0sym
   R100: Acc=98.2% | Loss=0.055 | E=2026.9J | D=4991.2sym
>> Scheme: IDEAL ...
   R2  : Acc=12.0% | Loss=2.307 | E=0.0J | D=0.0sym
   R4  : Acc=18.6% | Loss=2.291 | E=0.0J | D=0.0sym
   R6  : Acc=34.3% | Loss=2.263 | E=0.0J | D=0.0sym
   R8  : Acc=51.7% | Loss=2.200 | E=0.0J | D=0.0sym
   R10 : Acc=62.4% | Loss=1.955 | E=0.0J | D=0.0sym
   R12 : Acc=71.2% | Loss=1.227 | E=0.0J | D=0.0sym
   R14 : Acc=76.5% | Loss=0.706 | E=0.0J | D=0.0sym
   R16 : Acc=80.4% | Loss=0.732 | E=0.0J | D=0.0sym
   R18 : Acc=82.9% | Loss=0.835 | E=0.0J | D=0.0sym
   R20 : Acc=85.4% | Loss=0.693 | E=0.0J | D=0.0sym
   R22 : Acc=88.1% | Loss=0.417 | E=0.0J | D=0.0sym
   R24 : Acc=89.3% | Loss=0.343 | E=0.0J | D=0.0sym
