
--- Testing Combo: B=4, P_max=30.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_4bit_30.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=10.2% | Loss=2.302 | E=193.4J | D=54.2sym
   R4  : Acc=10.3% | Loss=2.304 | E=313.8J | D=100.5sym
   R6  : Acc=10.3% | Loss=2.322 | E=449.8J | D=147.0sym
   R8  : Acc=14.5% | Loss=2.371 | E=641.2J | D=203.2sym
   R10 : Acc=17.0% | Loss=2.334 | E=798.8J | D=251.8sym
   R12 : Acc=24.7% | Loss=2.123 | E=947.6J | D=301.5sym
   R14 : Acc=29.4% | Loss=2.084 | E=1076.4J | D=346.0sym
   R16 : Acc=29.1% | Loss=2.102 | E=1225.5J | D=390.2sym
   R18 : Acc=35.0% | Loss=1.939 | E=1411.5J | D=444.5sym
   R20 : Acc=43.1% | Loss=1.769 | E=1588.2J | D=492.8sym
   R22 : Acc=46.0% | Loss=1.676 | E=1710.1J | D=539.0sym
   R24 : Acc=44.0% | Loss=1.617 | E=1847.9J | D=582.5sym
   R26 : Acc=43.5% | Loss=1.553 | E=2005.2J | D=634.0sym
   R28 : Acc=45.8% | Loss=1.455 | E=2174.6J | D=682.0sym
   R30 : Acc=50.5% | Loss=1.338 | E=2401.7J | D=737.8sym
   R32 : Acc=56.7% | Loss=1.217 | E=2565.4J | D=783.5sym
   R34 : Acc=61.2% | Loss=1.133 | E=2752.0J | D=831.2sym
   R36 : Acc=63.3% | Loss=1.080 | E=2888.1J | D=877.0sym
   R38 : Acc=65.5% | Loss=1.037 | E=3056.6J | D=922.2sym
   R40 : Acc=67.0% | Loss=0.998 | E=3251.7J | D=970.5sym
   R42 : Acc=67.6% | Loss=0.969 | E=3423.0J | D=1020.8sym
   R44 : Acc=68.5% | Loss=0.939 | E=3640.3J | D=1077.8sym
   R46 : Acc=69.4% | Loss=0.907 | E=3809.1J | D=1126.0sym
   R48 : Acc=70.2% | Loss=0.873 | E=3991.9J | D=1178.5sym
   R50 : Acc=71.4% | Loss=0.848 | E=4128.9J | D=1222.2sym
   R52 : Acc=72.5% | Loss=0.822 | E=4254.6J | D=1274.0sym
   R54 : Acc=73.7% | Loss=0.793 | E=4400.5J | D=1318.5sym
   R56 : Acc=74.5% | Loss=0.768 | E=4522.6J | D=1373.8sym
   R58 : Acc=75.0% | Loss=0.745 | E=4676.9J | D=1421.2sym
   R60 : Acc=76.1% | Loss=0.717 | E=4823.2J | D=1465.8sym
   R62 : Acc=77.0% | Loss=0.691 | E=4969.7J | D=1510.2sym
   R64 : Acc=77.7% | Loss=0.673 | E=5125.4J | D=1558.2sym
   R66 : Acc=78.0% | Loss=0.658 | E=5310.8J | D=1604.8sym
   R68 : Acc=78.4% | Loss=0.644 | E=5492.5J | D=1655.0sym
   R70 : Acc=78.9% | Loss=0.631 | E=5631.3J | D=1700.0sym
   R72 : Acc=79.3% | Loss=0.614 | E=5796.6J | D=1746.0sym
   R74 : Acc=79.9% | Loss=0.600 | E=5965.5J | D=1797.0sym
   R76 : Acc=80.3% | Loss=0.589 | E=6156.3J | D=1847.5sym
   R78 : Acc=80.5% | Loss=0.580 | E=6298.9J | D=1896.5sym
   R80 : Acc=81.0% | Loss=0.571 | E=6435.0J | D=1943.0sym
   R82 : Acc=81.0% | Loss=0.563 | E=6573.4J | D=1992.5sym
   R84 : Acc=81.2% | Loss=0.555 | E=6705.1J | D=2043.5sym
   R86 : Acc=81.8% | Loss=0.546 | E=6849.4J | D=2095.5sym
   R88 : Acc=82.0% | Loss=0.540 | E=7012.3J | D=2146.5sym
   R90 : Acc=82.2% | Loss=0.533 | E=7191.3J | D=2201.0sym
   R92 : Acc=82.2% | Loss=0.527 | E=7330.0J | D=2244.2sym
   R94 : Acc=81.8% | Loss=0.528 | E=7456.8J | D=2290.5sym
   R96 : Acc=81.8% | Loss=0.528 | E=7625.3J | D=2344.8sym
   R98 : Acc=82.3% | Loss=0.518 | E=7833.8J | D=2396.2sym
   R100: Acc=83.0% | Loss=0.508 | E=7955.5J | D=2438.8sym
>> Scheme: IDEAL ...
   R2  : Acc=9.8% | Loss=2.305 | E=0.0J | D=0.0sym
   R4  : Acc=9.8% | Loss=2.304 | E=0.0J | D=0.0sym
   R6  : Acc=9.8% | Loss=2.304 | E=0.0J | D=0.0sym
   R8  : Acc=9.8% | Loss=2.318 | E=0.0J | D=0.0sym
   R10 : Acc=9.8% | Loss=2.362 | E=0.0J | D=0.0sym
   R12 : Acc=10.0% | Loss=2.325 | E=0.0J | D=0.0sym
   R14 : Acc=20.9% | Loss=2.200 | E=0.0J | D=0.0sym
   R16 : Acc=18.4% | Loss=2.184 | E=0.0J | D=0.0sym
   R18 : Acc=32.1% | Loss=2.104 | E=0.0J | D=0.0sym
   R20 : Acc=43.0% | Loss=1.960 | E=0.0J | D=0.0sym
   R22 : Acc=47.2% | Loss=1.833 | E=0.0J | D=0.0sym
   R24 : Acc=49.2% | Loss=1.766 | E=0.0J | D=0.0sym
   R26 : Acc=45.5% | Loss=1.719 | E=0.0J | D=0.0sym
   R28 : Acc=43.9% | Loss=1.653 | E=0.0J | D=0.0sym
   R30 : Acc=46.5% | Loss=1.543 | E=0.0J | D=0.0sym
   R32 : Acc=53.0% | Loss=1.384 | E=0.0J | D=0.0sym
   R34 : Acc=60.9% | Loss=1.223 | E=0.0J | D=0.0sym
   R36 : Acc=62.4% | Loss=1.122 | E=0.0J | D=0.0sym
   R38 : Acc=61.4% | Loss=1.071 | E=0.0J | D=0.0sym
   R40 : Acc=64.2% | Loss=1.029 | E=0.0J | D=0.0sym
   R42 : Acc=66.6% | Loss=0.997 | E=0.0J | D=0.0sym
   R44 : Acc=68.2% | Loss=0.963 | E=0.0J | D=0.0sym
   R46 : Acc=69.5% | Loss=0.924 | E=0.0J | D=0.0sym
   R48 : Acc=71.0% | Loss=0.887 | E=0.0J | D=0.0sym
   R50 : Acc=72.3% | Loss=0.850 | E=0.0J | D=0.0sym
   R52 : Acc=73.5% | Loss=0.810 | E=0.0J | D=0.0sym
   R54 : Acc=74.3% | Loss=0.777 | E=0.0J | D=0.0sym
   R56 : Acc=74.9% | Loss=0.751 | E=0.0J | D=0.0sym
   R58 : Acc=75.8% | Loss=0.728 | E=0.0J | D=0.0sym
   R60 : Acc=76.8% | Loss=0.700 | E=0.0J | D=0.0sym
   R62 : Acc=78.2% | Loss=0.671 | E=0.0J | D=0.0sym
   R64 : Acc=79.5% | Loss=0.645 | E=0.0J | D=0.0sym
   R66 : Acc=80.3% | Loss=0.624 | E=0.0J | D=0.0sym
   R68 : Acc=80.8% | Loss=0.608 | E=0.0J | D=0.0sym
   R70 : Acc=81.6% | Loss=0.591 | E=0.0J | D=0.0sym
   R72 : Acc=82.0% | Loss=0.573 | E=0.0J | D=0.0sym
   R74 : Acc=82.6% | Loss=0.559 | E=0.0J | D=0.0sym
   R76 : Acc=82.9% | Loss=0.546 | E=0.0J | D=0.0sym
   R78 : Acc=83.0% | Loss=0.536 | E=0.0J | D=0.0sym
   R80 : Acc=83.3% | Loss=0.527 | E=0.0J | D=0.0sym
   R82 : Acc=83.5% | Loss=0.519 | E=0.0J | D=0.0sym
   R84 : Acc=83.8% | Loss=0.511 | E=0.0J | D=0.0sym
   R86 : Acc=84.2% | Loss=0.502 | E=0.0J | D=0.0sym
   R88 : Acc=84.5% | Loss=0.496 | E=0.0J | D=0.0sym
   R90 : Acc=84.6% | Loss=0.490 | E=0.0J | D=0.0sym
   R92 : Acc=84.7% | Loss=0.484 | E=0.0J | D=0.0sym
   R94 : Acc=84.8% | Loss=0.479 | E=0.0J | D=0.0sym
   R96 : Acc=85.0% | Loss=0.474 | E=0.0J | D=0.0sym
   R98 : Acc=85.3% | Loss=0.468 | E=0.0J | D=0.0sym
   R100: Acc=85.6% | Loss=0.462 | E=0.0J | D=0.0sym
>> Scheme: UNIFORM ...
   R2  : Acc=13.7% | Loss=2.299 | E=533.6J | D=54.0sym
   R4  : Acc=13.8% | Loss=2.295 | E=1078.7J | D=101.0sym
   R6  : Acc=19.7% | Loss=2.289 | E=1443.9J | D=146.0sym
   R8  : Acc=10.9% | Loss=2.287 | E=1967.5J | D=199.0sym
   R10 : Acc=9.7% | Loss=2.313 | E=2518.5J | D=255.0sym
   R12 : Acc=10.7% | Loss=2.310 | E=3112.6J | D=307.0sym
   R14 : Acc=30.4% | Loss=2.109 | E=3599.8J | D=359.0sym
   R16 : Acc=25.9% | Loss=2.041 | E=4095.5J | D=403.0sym
   R18 : Acc=35.4% | Loss=2.035 | E=4572.3J | D=459.0sym
   R20 : Acc=44.2% | Loss=1.838 | E=5153.6J | D=511.0sym
   R22 : Acc=50.2% | Loss=1.645 | E=5818.4J | D=569.0sym
   R24 : Acc=57.0% | Loss=1.558 | E=6459.0J | D=618.0sym
   R26 : Acc=51.9% | Loss=1.520 | E=6997.4J | D=664.0sym
   R28 : Acc=51.0% | Loss=1.456 | E=7703.3J | D=724.0sym
   R30 : Acc=51.3% | Loss=1.364 | E=8365.7J | D=781.0sym
   R32 : Acc=52.6% | Loss=1.258 | E=8903.4J | D=829.0sym
   R34 : Acc=58.4% | Loss=1.134 | E=9394.9J | D=876.0sym
   R36 : Acc=64.0% | Loss=1.026 | E=10270.0J | D=939.0sym
   R38 : Acc=64.9% | Loss=0.985 | E=10786.4J | D=994.0sym
   R40 : Acc=65.9% | Loss=0.951 | E=11348.5J | D=1044.0sym
   R42 : Acc=70.0% | Loss=0.890 | E=12137.2J | D=1100.0sym
   R44 : Acc=70.7% | Loss=0.871 | E=12871.7J | D=1162.0sym
   R46 : Acc=70.2% | Loss=0.852 | E=13521.6J | D=1221.0sym
   R48 : Acc=71.1% | Loss=0.836 | E=14155.3J | D=1277.0sym
   R50 : Acc=72.3% | Loss=0.826 | E=14738.2J | D=1325.0sym
   R52 : Acc=73.8% | Loss=0.817 | E=15251.2J | D=1373.0sym
   R54 : Acc=74.8% | Loss=0.807 | E=15784.7J | D=1426.0sym
   R56 : Acc=75.2% | Loss=0.801 | E=16378.2J | D=1483.0sym
   R58 : Acc=75.4% | Loss=0.791 | E=16870.3J | D=1532.0sym
   R60 : Acc=76.2% | Loss=0.772 | E=17441.5J | D=1579.0sym
   R62 : Acc=76.3% | Loss=0.752 | E=18025.4J | D=1638.0sym
   R64 : Acc=75.8% | Loss=0.741 | E=18564.4J | D=1689.0sym
   R66 : Acc=76.5% | Loss=0.722 | E=19236.6J | D=1744.0sym
   R68 : Acc=78.3% | Loss=0.690 | E=19810.5J | D=1800.0sym
   R70 : Acc=77.8% | Loss=0.680 | E=20378.8J | D=1850.0sym
   R72 : Acc=77.3% | Loss=0.676 | E=20908.6J | D=1895.0sym
   R74 : Acc=77.1% | Loss=0.674 | E=21579.2J | D=1955.0sym
   R76 : Acc=77.6% | Loss=0.658 | E=22317.8J | D=2014.0sym
   R78 : Acc=78.6% | Loss=0.643 | E=22883.6J | D=2063.0sym
   R80 : Acc=79.5% | Loss=0.631 | E=23479.6J | D=2111.0sym
   R82 : Acc=80.2% | Loss=0.614 | E=23783.5J | D=2155.0sym
   R84 : Acc=80.2% | Loss=0.605 | E=24270.7J | D=2202.0sym
   R86 : Acc=80.2% | Loss=0.595 | E=24697.8J | D=2249.0sym
   R88 : Acc=79.9% | Loss=0.595 | E=25179.1J | D=2300.0sym
   R90 : Acc=79.5% | Loss=0.597 | E=25818.8J | D=2355.0sym
   R92 : Acc=80.7% | Loss=0.577 | E=26418.3J | D=2407.0sym
   R94 : Acc=81.4% | Loss=0.567 | E=27041.7J | D=2464.0sym
   R96 : Acc=81.7% | Loss=0.564 | E=27792.9J | D=2520.0sym
   R98 : Acc=81.9% | Loss=0.552 | E=28262.5J | D=2572.0sym
   R100: Acc=82.3% | Loss=0.541 | E=28755.2J | D=2618.0sym
>> Scheme: ANDP ...
   R2  : Acc=8.9% | Loss=2.309 | E=544.1J | D=320.0sym
   R4  : Acc=8.9% | Loss=2.307 | E=729.3J | D=640.0sym
   R6  : Acc=8.9% | Loss=2.305 | E=1102.7J | D=960.0sym
   R8  : Acc=8.9% | Loss=2.301 | E=1597.6J | D=1280.0sym
   R10 : Acc=8.9% | Loss=2.294 | E=1794.1J | D=1600.0sym
   R12 : Acc=8.9% | Loss=2.284 | E=2118.1J | D=1920.0sym
   R14 : Acc=12.4% | Loss=2.267 | E=2493.0J | D=2240.0sym
   R16 : Acc=12.8% | Loss=2.225 | E=2892.3J | D=2560.0sym
   R18 : Acc=35.0% | Loss=2.126 | E=3123.8J | D=2880.0sym
   R20 : Acc=40.8% | Loss=2.030 | E=3458.2J | D=3200.0sym
   R22 : Acc=35.9% | Loss=1.945 | E=3642.1J | D=3520.0sym
   R24 : Acc=40.8% | Loss=1.826 | E=4215.2J | D=3840.0sym
   R26 : Acc=45.3% | Loss=1.715 | E=4789.3J | D=4160.0sym
   R28 : Acc=51.8% | Loss=1.641 | E=5020.9J | D=4480.0sym
   R30 : Acc=57.5% | Loss=1.566 | E=5300.3J | D=4800.0sym
   R32 : Acc=62.9% | Loss=1.445 | E=5741.4J | D=5120.0sym
   R34 : Acc=64.1% | Loss=1.295 | E=6013.6J | D=5440.0sym
   R36 : Acc=64.4% | Loss=1.159 | E=6279.8J | D=5760.0sym
   R38 : Acc=66.0% | Loss=1.053 | E=6862.0J | D=6080.0sym
   R40 : Acc=69.0% | Loss=0.956 | E=7137.8J | D=6400.0sym
   R42 : Acc=71.6% | Loss=0.887 | E=7476.7J | D=6720.0sym
   R44 : Acc=71.6% | Loss=0.864 | E=7759.0J | D=7040.0sym
   R46 : Acc=71.6% | Loss=0.847 | E=8168.2J | D=7360.0sym
   R48 : Acc=72.4% | Loss=0.818 | E=8497.6J | D=7680.0sym
   R50 : Acc=73.3% | Loss=0.789 | E=8881.0J | D=8000.0sym
   R52 : Acc=74.1% | Loss=0.766 | E=9351.5J | D=8320.0sym
   R54 : Acc=74.7% | Loss=0.750 | E=9725.0J | D=8640.0sym
   R56 : Acc=75.7% | Loss=0.734 | E=10099.7J | D=8960.0sym
   R58 : Acc=76.5% | Loss=0.719 | E=10378.8J | D=9280.0sym
   R60 : Acc=76.8% | Loss=0.708 | E=10706.9J | D=9600.0sym
   R62 : Acc=77.2% | Loss=0.700 | E=10990.1J | D=9920.0sym
   R64 : Acc=77.3% | Loss=0.690 | E=11241.1J | D=10240.0sym
   R66 : Acc=77.8% | Loss=0.676 | E=11851.1J | D=10560.0sym
   R68 : Acc=78.5% | Loss=0.660 | E=12404.0J | D=10880.0sym
   R70 : Acc=79.1% | Loss=0.645 | E=12658.2J | D=11200.0sym
   R72 : Acc=79.3% | Loss=0.631 | E=12836.8J | D=11520.0sym
   R74 : Acc=79.7% | Loss=0.618 | E=13074.7J | D=11840.0sym
   R76 : Acc=79.8% | Loss=0.608 | E=13566.6J | D=12160.0sym
   R78 : Acc=80.1% | Loss=0.599 | E=13922.1J | D=12480.0sym
   R80 : Acc=80.5% | Loss=0.588 | E=14330.1J | D=12800.0sym
   R82 : Acc=80.8% | Loss=0.576 | E=14524.0J | D=13120.0sym
   R84 : Acc=81.1% | Loss=0.562 | E=15156.6J | D=13440.0sym
   R86 : Acc=81.8% | Loss=0.550 | E=15632.5J | D=13760.0sym
   R88 : Acc=82.2% | Loss=0.537 | E=15903.3J | D=14080.0sym
   R90 : Acc=82.5% | Loss=0.525 | E=16450.8J | D=14400.0sym
   R92 : Acc=82.9% | Loss=0.516 | E=16980.8J | D=14720.0sym
   R94 : Acc=83.2% | Loss=0.505 | E=17541.0J | D=15040.0sym
   R96 : Acc=83.2% | Loss=0.502 | E=17818.5J | D=15360.0sym
   R98 : Acc=83.7% | Loss=0.499 | E=18223.7J | D=15680.0sym
   R100: Acc=84.0% | Loss=0.489 | E=18544.9J | D=16000.0sym
==> Saved Plot: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_4bit_30.0w_Eps10.0.png

