
--- Testing Combo: B=4, P_max=3.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_4bit_3.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=16.8% | Loss=2.304 | E=40.5J | D=100.8sym
   R4  : Acc=12.7% | Loss=2.300 | E=81.0J | D=198.5sym
   R6  : Acc=10.0% | Loss=2.302 | E=127.4J | D=293.2sym
   R8  : Acc=10.0% | Loss=2.312 | E=165.5J | D=393.2sym
   R10 : Acc=19.6% | Loss=2.256 | E=212.4J | D=480.0sym
   R12 : Acc=15.7% | Loss=2.178 | E=254.3J | D=582.5sym
   R14 : Acc=18.3% | Loss=2.073 | E=295.0J | D=688.2sym
   R16 : Acc=34.1% | Loss=1.941 | E=338.6J | D=791.5sym
   R18 : Acc=29.2% | Loss=1.874 | E=373.7J | D=895.2sym
   R20 : Acc=37.7% | Loss=1.759 | E=416.3J | D=1000.2sym
   R22 : Acc=47.8% | Loss=1.657 | E=471.1J | D=1109.2sym
   R24 : Acc=51.9% | Loss=1.565 | E=508.2J | D=1204.0sym
   R26 : Acc=53.2% | Loss=1.475 | E=546.0J | D=1300.0sym
   R28 : Acc=53.1% | Loss=1.394 | E=590.1J | D=1394.2sym
   R30 : Acc=55.5% | Loss=1.324 | E=623.5J | D=1509.5sym
   R32 : Acc=59.7% | Loss=1.242 | E=657.6J | D=1601.0sym
   R34 : Acc=63.8% | Loss=1.133 | E=699.9J | D=1692.8sym
   R36 : Acc=65.9% | Loss=1.038 | E=735.0J | D=1793.5sym
   R38 : Acc=68.5% | Loss=0.973 | E=776.3J | D=1890.5sym
   R40 : Acc=70.6% | Loss=0.931 | E=829.3J | D=1988.2sym
   R42 : Acc=71.1% | Loss=0.904 | E=869.7J | D=2090.5sym
   R44 : Acc=71.6% | Loss=0.874 | E=913.5J | D=2180.5sym
   R46 : Acc=72.4% | Loss=0.850 | E=947.9J | D=2289.2sym
   R48 : Acc=72.9% | Loss=0.828 | E=985.7J | D=2397.2sym
   R50 : Acc=73.5% | Loss=0.804 | E=1027.9J | D=2493.0sym
   R52 : Acc=73.9% | Loss=0.783 | E=1066.6J | D=2583.8sym
   R54 : Acc=75.7% | Loss=0.755 | E=1105.4J | D=2673.2sym
   R56 : Acc=77.8% | Loss=0.725 | E=1152.8J | D=2794.2sym
   R58 : Acc=78.6% | Loss=0.706 | E=1189.2J | D=2890.8sym
   R60 : Acc=78.9% | Loss=0.689 | E=1237.1J | D=2987.2sym
   R62 : Acc=79.2% | Loss=0.671 | E=1278.7J | D=3079.5sym
   R64 : Acc=79.2% | Loss=0.658 | E=1316.7J | D=3179.5sym
   R66 : Acc=79.0% | Loss=0.650 | E=1354.5J | D=3286.0sym
   R68 : Acc=78.7% | Loss=0.646 | E=1399.7J | D=3388.0sym
   R70 : Acc=79.0% | Loss=0.637 | E=1434.8J | D=3497.8sym
   R72 : Acc=80.7% | Loss=0.610 | E=1471.5J | D=3599.5sym
   R74 : Acc=81.0% | Loss=0.596 | E=1515.2J | D=3698.2sym
   R76 : Acc=81.3% | Loss=0.587 | E=1554.3J | D=3787.2sym
   R78 : Acc=81.5% | Loss=0.581 | E=1591.2J | D=3878.0sym
   R80 : Acc=82.1% | Loss=0.567 | E=1634.5J | D=3975.0sym
   R82 : Acc=82.6% | Loss=0.553 | E=1671.0J | D=4070.5sym
   R84 : Acc=82.9% | Loss=0.544 | E=1716.3J | D=4174.5sym
   R86 : Acc=82.9% | Loss=0.538 | E=1755.0J | D=4265.8sym
