
--- Testing Combo: B=8, P_max=30.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_8bit_30.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=15.5% | Loss=2.303 | E=159.2J | D=87.8sym
   R4  : Acc=15.6% | Loss=2.299 | E=297.4J | D=174.0sym
   R6  : Acc=8.7% | Loss=2.308 | E=450.3J | D=260.5sym
   R8  : Acc=8.8% | Loss=2.347 | E=571.7J | D=341.2sym
   R10 : Acc=8.9% | Loss=2.318 | E=719.4J | D=428.0sym
   R12 : Acc=21.3% | Loss=2.108 | E=928.9J | D=543.8sym
   R14 : Acc=35.0% | Loss=2.013 | E=1121.9J | D=644.0sym
   R16 : Acc=39.5% | Loss=1.894 | E=1251.9J | D=735.8sym
   R18 : Acc=41.9% | Loss=1.744 | E=1398.6J | D=834.8sym
   R20 : Acc=43.8% | Loss=1.635 | E=1531.2J | D=923.2sym
   R22 : Acc=48.3% | Loss=1.562 | E=1714.2J | D=1013.5sym
   R24 : Acc=51.5% | Loss=1.496 | E=1854.4J | D=1102.8sym
   R26 : Acc=54.3% | Loss=1.406 | E=2021.4J | D=1189.8sym
   R28 : Acc=58.8% | Loss=1.289 | E=2242.4J | D=1288.0sym
   R30 : Acc=63.8% | Loss=1.174 | E=2374.6J | D=1402.5sym
   R32 : Acc=67.3% | Loss=1.080 | E=2556.5J | D=1492.2sym
   R34 : Acc=69.0% | Loss=1.003 | E=2672.1J | D=1588.0sym
   R36 : Acc=70.2% | Loss=0.935 | E=2843.0J | D=1688.2sym
   R38 : Acc=71.6% | Loss=0.881 | E=3004.6J | D=1780.5sym
   R40 : Acc=72.0% | Loss=0.849 | E=3138.9J | D=1868.8sym
   R42 : Acc=72.5% | Loss=0.832 | E=3262.7J | D=1971.5sym
   R44 : Acc=73.2% | Loss=0.813 | E=3394.5J | D=2066.2sym
   R46 : Acc=74.0% | Loss=0.792 | E=3551.9J | D=2157.5sym
   R48 : Acc=74.6% | Loss=0.771 | E=3651.5J | D=2244.5sym
   R50 : Acc=75.2% | Loss=0.754 | E=3828.4J | D=2330.2sym
   R52 : Acc=75.7% | Loss=0.742 | E=4037.0J | D=2426.0sym
   R54 : Acc=76.1% | Loss=0.734 | E=4192.1J | D=2518.8sym
   R56 : Acc=76.3% | Loss=0.725 | E=4352.2J | D=2611.8sym
   R58 : Acc=76.5% | Loss=0.713 | E=4523.5J | D=2705.0sym
   R60 : Acc=77.0% | Loss=0.696 | E=4660.1J | D=2792.0sym
   R62 : Acc=77.4% | Loss=0.679 | E=4821.7J | D=2891.5sym
   R64 : Acc=78.0% | Loss=0.663 | E=4977.9J | D=2981.2sym
   R66 : Acc=78.5% | Loss=0.646 | E=5093.0J | D=3063.0sym
   R68 : Acc=79.1% | Loss=0.633 | E=5238.7J | D=3167.2sym
   R70 : Acc=79.0% | Loss=0.624 | E=5393.8J | D=3261.2sym
   R72 : Acc=79.1% | Loss=0.617 | E=5574.2J | D=3359.0sym
   R74 : Acc=79.6% | Loss=0.604 | E=5713.0J | D=3450.0sym
   R76 : Acc=80.4% | Loss=0.590 | E=5866.9J | D=3536.8sym
   R78 : Acc=81.1% | Loss=0.581 | E=6014.4J | D=3620.5sym
   R80 : Acc=81.1% | Loss=0.572 | E=6160.5J | D=3705.8sym
   R82 : Acc=81.2% | Loss=0.568 | E=6320.9J | D=3794.2sym
   R84 : Acc=81.3% | Loss=0.563 | E=6448.2J | D=3876.0sym
   R86 : Acc=81.7% | Loss=0.555 | E=6569.5J | D=3970.8sym
   R88 : Acc=82.2% | Loss=0.549 | E=6731.0J | D=4062.8sym
   R90 : Acc=82.4% | Loss=0.545 | E=6866.9J | D=4164.0sym
