
--- Testing Combo: B=8, P_max=2.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_8bit_2.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=9.8% | Loss=2.306 | E=31.4J | D=192.0sym
   R4  : Acc=9.8% | Loss=2.306 | E=51.4J | D=378.8sym
   R6  : Acc=11.3% | Loss=2.306 | E=78.9J | D=573.2sym
   R8  : Acc=13.5% | Loss=2.315 | E=104.3J | D=759.8sym
   R10 : Acc=14.5% | Loss=2.344 | E=130.5J | D=947.2sym
   R12 : Acc=12.5% | Loss=2.388 | E=157.0J | D=1185.5sym
   R14 : Acc=13.0% | Loss=2.374 | E=182.9J | D=1383.5sym
   R16 : Acc=15.4% | Loss=2.254 | E=203.9J | D=1616.0sym
   R18 : Acc=37.2% | Loss=2.093 | E=241.2J | D=1833.2sym
   R20 : Acc=23.3% | Loss=2.095 | E=263.9J | D=2034.5sym
   R22 : Acc=24.8% | Loss=2.073 | E=291.3J | D=2248.8sym
   R24 : Acc=33.5% | Loss=1.959 | E=317.7J | D=2446.0sym
   R26 : Acc=39.1% | Loss=1.863 | E=345.7J | D=2647.8sym
   R28 : Acc=40.6% | Loss=1.786 | E=377.3J | D=2849.0sym
   R30 : Acc=42.7% | Loss=1.708 | E=404.3J | D=3043.2sym
   R32 : Acc=43.4% | Loss=1.642 | E=433.7J | D=3249.8sym
   R34 : Acc=43.5% | Loss=1.594 | E=462.4J | D=3420.2sym
   R36 : Acc=44.9% | Loss=1.547 | E=485.3J | D=3653.0sym
   R38 : Acc=47.8% | Loss=1.479 | E=503.9J | D=3886.0sym
   R40 : Acc=49.1% | Loss=1.411 | E=532.3J | D=4084.0sym
   R42 : Acc=51.4% | Loss=1.324 | E=556.8J | D=4283.2sym
   R44 : Acc=56.3% | Loss=1.243 | E=589.5J | D=4441.5sym
   R46 : Acc=58.0% | Loss=1.210 | E=619.0J | D=4650.5sym
   R48 : Acc=58.8% | Loss=1.187 | E=647.3J | D=4878.0sym
   R50 : Acc=60.8% | Loss=1.140 | E=669.5J | D=5094.5sym
   R52 : Acc=62.3% | Loss=1.106 | E=706.9J | D=5307.5sym
   R54 : Acc=63.0% | Loss=1.078 | E=732.4J | D=5496.0sym
   R56 : Acc=63.5% | Loss=1.054 | E=754.0J | D=5698.5sym
   R58 : Acc=63.4% | Loss=1.035 | E=780.7J | D=5894.2sym
   R60 : Acc=63.8% | Loss=1.012 | E=815.0J | D=6090.0sym
   R62 : Acc=65.7% | Loss=0.978 | E=839.7J | D=6289.5sym
   R64 : Acc=66.9% | Loss=0.952 | E=876.2J | D=6490.5sym
   R66 : Acc=68.4% | Loss=0.917 | E=906.4J | D=6670.2sym
   R68 : Acc=70.4% | Loss=0.879 | E=934.1J | D=6888.0sym
   R70 : Acc=71.5% | Loss=0.858 | E=959.8J | D=7119.2sym
   R72 : Acc=71.4% | Loss=0.846 | E=985.5J | D=7314.2sym
   R74 : Acc=71.9% | Loss=0.832 | E=1011.8J | D=7527.5sym
   R76 : Acc=73.2% | Loss=0.802 | E=1038.4J | D=7730.8sym
