
--- Testing Combo: B=8, P_max=1.6W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_8bit_1.6w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=9.4% | Loss=2.303 | E=26.7J | D=207.2sym
   R4  : Acc=9.7% | Loss=2.298 | E=52.3J | D=411.8sym
   R6  : Acc=10.8% | Loss=2.295 | E=74.2J | D=625.2sym
   R8  : Acc=10.8% | Loss=2.310 | E=98.9J | D=834.0sym
   R10 : Acc=10.1% | Loss=2.362 | E=121.2J | D=1077.0sym
   R12 : Acc=10.1% | Loss=2.379 | E=141.5J | D=1311.5sym
   R14 : Acc=15.1% | Loss=2.229 | E=162.7J | D=1525.0sym
   R16 : Acc=27.0% | Loss=2.035 | E=184.8J | D=1743.8sym
   R18 : Acc=43.4% | Loss=1.959 | E=208.3J | D=1975.5sym
   R20 : Acc=40.9% | Loss=1.937 | E=226.3J | D=2209.8sym
   R22 : Acc=43.5% | Loss=1.838 | E=247.8J | D=2402.0sym
   R24 : Acc=44.5% | Loss=1.704 | E=264.0J | D=2615.8sym
   R26 : Acc=45.5% | Loss=1.605 | E=284.2J | D=2840.5sym
   R28 : Acc=52.0% | Loss=1.519 | E=309.3J | D=3053.8sym
   R30 : Acc=59.5% | Loss=1.446 | E=329.9J | D=3283.2sym
   R32 : Acc=60.1% | Loss=1.382 | E=349.4J | D=3519.2sym
   R34 : Acc=62.8% | Loss=1.303 | E=370.6J | D=3742.5sym
   R36 : Acc=63.2% | Loss=1.240 | E=390.1J | D=3971.8sym
   R38 : Acc=61.6% | Loss=1.205 | E=416.0J | D=4182.8sym
   R40 : Acc=63.9% | Loss=1.144 | E=438.8J | D=4382.0sym
   R42 : Acc=66.6% | Loss=1.075 | E=462.7J | D=4602.0sym
   R44 : Acc=68.4% | Loss=1.026 | E=481.1J | D=4823.2sym
   R46 : Acc=69.4% | Loss=0.985 | E=502.2J | D=5042.5sym
   R48 : Acc=70.2% | Loss=0.957 | E=522.7J | D=5252.8sym
   R50 : Acc=70.0% | Loss=0.944 | E=544.3J | D=5452.5sym
   R52 : Acc=69.4% | Loss=0.948 | E=565.5J | D=5679.5sym
   R54 : Acc=70.7% | Loss=0.919 | E=584.7J | D=5874.2sym
   R56 : Acc=70.4% | Loss=0.914 | E=600.2J | D=6101.0sym
   R58 : Acc=68.5% | Loss=0.922 | E=623.4J | D=6310.8sym
   R60 : Acc=69.3% | Loss=0.903 | E=645.0J | D=6504.0sym
   R62 : Acc=69.9% | Loss=0.882 | E=664.1J | D=6718.8sym
   R64 : Acc=71.0% | Loss=0.864 | E=686.3J | D=6946.8sym
   R66 : Acc=72.4% | Loss=0.843 | E=706.7J | D=7172.0sym
   R68 : Acc=73.3% | Loss=0.823 | E=729.6J | D=7368.8sym
   R70 : Acc=74.1% | Loss=0.807 | E=749.4J | D=7581.2sym
   R72 : Acc=74.6% | Loss=0.791 | E=768.9J | D=7787.8sym
   R74 : Acc=75.3% | Loss=0.772 | E=789.8J | D=8021.0sym
   R76 : Acc=76.1% | Loss=0.752 | E=814.1J | D=8254.2sym
   R78 : Acc=76.4% | Loss=0.739 | E=833.4J | D=8467.8sym
   R80 : Acc=76.5% | Loss=0.727 | E=848.5J | D=8705.8sym
   R82 : Acc=76.2% | Loss=0.723 | E=869.7J | D=8935.8sym
   R84 : Acc=76.6% | Loss=0.713 | E=896.2J | D=9142.5sym
   R86 : Acc=77.2% | Loss=0.702 | E=919.7J | D=9352.0sym
   R88 : Acc=77.4% | Loss=0.694 | E=941.2J | D=9567.8sym
   R90 : Acc=77.9% | Loss=0.676 | E=961.6J | D=9769.8sym
   R92 : Acc=78.3% | Loss=0.664 | E=983.8J | D=9954.5sym
   R94 : Acc=78.7% | Loss=0.660 | E=1003.1J | D=10187.0sym
   R96 : Acc=78.9% | Loss=0.654 | E=1023.7J | D=10399.2sym
   R98 : Acc=79.4% | Loss=0.645 | E=1042.4J | D=10631.8sym
   R100: Acc=79.7% | Loss=0.634 | E=1059.1J | D=10856.2sym
>> Scheme: IDEAL ...
   R2  : Acc=10.4% | Loss=2.306 | E=0.0J | D=0.0sym
   R4  : Acc=9.2% | Loss=2.305 | E=0.0J | D=0.0sym
   R6  : Acc=9.0% | Loss=2.307 | E=0.0J | D=0.0sym
   R8  : Acc=8.9% | Loss=2.332 | E=0.0J | D=0.0sym
   R10 : Acc=8.9% | Loss=2.402 | E=0.0J | D=0.0sym
   R12 : Acc=11.8% | Loss=2.361 | E=0.0J | D=0.0sym
   R14 : Acc=16.3% | Loss=2.208 | E=0.0J | D=0.0sym
   R16 : Acc=22.3% | Loss=2.181 | E=0.0J | D=0.0sym
   R18 : Acc=37.0% | Loss=2.084 | E=0.0J | D=0.0sym
   R20 : Acc=45.4% | Loss=1.924 | E=0.0J | D=0.0sym
   R22 : Acc=48.4% | Loss=1.798 | E=0.0J | D=0.0sym
   R24 : Acc=48.8% | Loss=1.716 | E=0.0J | D=0.0sym
   R26 : Acc=54.8% | Loss=1.643 | E=0.0J | D=0.0sym
   R28 : Acc=54.1% | Loss=1.544 | E=0.0J | D=0.0sym
   R30 : Acc=55.1% | Loss=1.410 | E=0.0J | D=0.0sym
   R32 : Acc=59.1% | Loss=1.254 | E=0.0J | D=0.0sym
   R34 : Acc=63.9% | Loss=1.113 | E=0.0J | D=0.0sym
   R36 : Acc=68.9% | Loss=1.009 | E=0.0J | D=0.0sym
