
--- Testing Combo: B=8, P_max=30.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_8bit_30.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=16.1% | Loss=2.301 | E=123.6J | D=97.8sym
   R4  : Acc=19.5% | Loss=2.293 | E=291.0J | D=192.2sym
   R6  : Acc=25.3% | Loss=2.278 | E=486.5J | D=289.5sym
   R8  : Acc=43.6% | Loss=2.243 | E=645.0J | D=375.2sym
   R10 : Acc=61.5% | Loss=2.139 | E=816.0J | D=468.5sym
   R12 : Acc=66.3% | Loss=1.760 | E=987.0J | D=565.8sym
   R14 : Acc=74.7% | Loss=0.986 | E=1163.2J | D=656.5sym
   R16 : Acc=81.2% | Loss=0.600 | E=1337.0J | D=753.5sym
   R18 : Acc=85.3% | Loss=0.618 | E=1457.7J | D=850.8sym
   R20 : Acc=87.6% | Loss=0.649 | E=1623.6J | D=945.8sym
   R22 : Acc=89.4% | Loss=0.502 | E=1794.6J | D=1034.2sym
   R24 : Acc=91.2% | Loss=0.310 | E=1973.2J | D=1122.5sym
   R26 : Acc=91.6% | Loss=0.271 | E=2130.2J | D=1207.5sym
   R28 : Acc=92.3% | Loss=0.281 | E=2234.1J | D=1294.2sym
   R30 : Acc=93.4% | Loss=0.242 | E=2374.1J | D=1378.0sym
   R32 : Acc=94.9% | Loss=0.183 | E=2561.7J | D=1475.8sym
   R34 : Acc=95.4% | Loss=0.148 | E=2749.3J | D=1566.5sym
   R36 : Acc=95.8% | Loss=0.133 | E=2923.3J | D=1676.5sym
   R38 : Acc=96.1% | Loss=0.126 | E=3084.0J | D=1776.5sym
   R40 : Acc=96.3% | Loss=0.118 | E=3303.2J | D=1881.5sym
   R42 : Acc=96.6% | Loss=0.108 | E=3519.6J | D=1981.8sym
   R44 : Acc=96.7% | Loss=0.098 | E=3713.0J | D=2071.2sym
   R46 : Acc=97.0% | Loss=0.092 | E=3848.5J | D=2159.2sym
   R48 : Acc=97.1% | Loss=0.087 | E=4025.3J | D=2247.8sym
   R50 : Acc=97.3% | Loss=0.083 | E=4230.4J | D=2342.8sym
   R52 : Acc=97.4% | Loss=0.079 | E=4369.1J | D=2437.5sym
   R54 : Acc=97.6% | Loss=0.076 | E=4556.4J | D=2525.0sym
   R56 : Acc=97.7% | Loss=0.073 | E=4709.1J | D=2618.5sym
   R58 : Acc=97.7% | Loss=0.071 | E=4846.0J | D=2701.5sym
   R60 : Acc=97.8% | Loss=0.069 | E=5026.7J | D=2787.8sym
   R62 : Acc=97.8% | Loss=0.067 | E=5154.4J | D=2890.0sym
   R64 : Acc=97.8% | Loss=0.065 | E=5278.6J | D=2991.2sym
   R66 : Acc=97.9% | Loss=0.063 | E=5471.0J | D=3085.2sym
   R68 : Acc=98.0% | Loss=0.061 | E=5674.4J | D=3184.2sym
   R70 : Acc=98.1% | Loss=0.059 | E=5835.2J | D=3272.0sym
   R72 : Acc=98.1% | Loss=0.058 | E=6017.4J | D=3364.2sym
   R74 : Acc=98.2% | Loss=0.057 | E=6174.2J | D=3451.5sym
   R76 : Acc=98.3% | Loss=0.056 | E=6282.2J | D=3546.0sym
   R78 : Acc=98.3% | Loss=0.055 | E=6383.2J | D=3628.2sym
   R80 : Acc=98.3% | Loss=0.054 | E=6532.7J | D=3716.2sym
   R82 : Acc=98.3% | Loss=0.053 | E=6635.9J | D=3816.2sym
   R84 : Acc=98.3% | Loss=0.052 | E=6863.8J | D=3924.2sym
   R86 : Acc=98.3% | Loss=0.052 | E=7045.6J | D=4012.2sym
   R88 : Acc=98.3% | Loss=0.050 | E=7184.1J | D=4107.5sym
   R90 : Acc=98.4% | Loss=0.049 | E=7340.6J | D=4197.8sym
   R92 : Acc=98.4% | Loss=0.049 | E=7475.0J | D=4288.8sym
   R94 : Acc=98.4% | Loss=0.049 | E=7772.7J | D=4397.8sym
   R96 : Acc=98.4% | Loss=0.048 | E=7922.3J | D=4484.0sym
   R98 : Acc=98.4% | Loss=0.048 | E=8076.1J | D=4577.5sym
   R100: Acc=98.5% | Loss=0.048 | E=8251.9J | D=4671.8sym
>> Scheme: IDEAL ...
   R2  : Acc=16.3% | Loss=2.297 | E=0.0J | D=0.0sym
   R4  : Acc=21.7% | Loss=2.286 | E=0.0J | D=0.0sym
   R6  : Acc=29.9% | Loss=2.263 | E=0.0J | D=0.0sym
   R8  : Acc=42.2% | Loss=2.212 | E=0.0J | D=0.0sym
   R10 : Acc=54.7% | Loss=2.033 | E=0.0J | D=0.0sym
   R12 : Acc=66.2% | Loss=1.417 | E=0.0J | D=0.0sym
   R14 : Acc=79.8% | Loss=0.680 | E=0.0J | D=0.0sym
   R16 : Acc=83.0% | Loss=0.621 | E=0.0J | D=0.0sym
   R18 : Acc=84.3% | Loss=0.798 | E=0.0J | D=0.0sym
   R20 : Acc=86.6% | Loss=0.711 | E=0.0J | D=0.0sym
   R22 : Acc=88.6% | Loss=0.467 | E=0.0J | D=0.0sym
   R24 : Acc=89.4% | Loss=0.348 | E=0.0J | D=0.0sym
   R26 : Acc=90.3% | Loss=0.333 | E=0.0J | D=0.0sym
   R28 : Acc=92.0% | Loss=0.302 | E=0.0J | D=0.0sym
   R30 : Acc=93.0% | Loss=0.243 | E=0.0J | D=0.0sym
   R32 : Acc=93.8% | Loss=0.196 | E=0.0J | D=0.0sym
   R34 : Acc=94.3% | Loss=0.172 | E=0.0J | D=0.0sym
   R36 : Acc=95.0% | Loss=0.157 | E=0.0J | D=0.0sym
   R38 : Acc=95.4% | Loss=0.143 | E=0.0J | D=0.0sym
   R40 : Acc=95.9% | Loss=0.127 | E=0.0J | D=0.0sym
   R42 : Acc=96.4% | Loss=0.114 | E=0.0J | D=0.0sym
   R44 : Acc=96.6% | Loss=0.106 | E=0.0J | D=0.0sym
   R46 : Acc=96.7% | Loss=0.100 | E=0.0J | D=0.0sym
   R48 : Acc=96.8% | Loss=0.095 | E=0.0J | D=0.0sym
   R50 : Acc=97.0% | Loss=0.091 | E=0.0J | D=0.0sym
   R52 : Acc=97.1% | Loss=0.087 | E=0.0J | D=0.0sym
   R54 : Acc=97.2% | Loss=0.084 | E=0.0J | D=0.0sym
   R56 : Acc=97.3% | Loss=0.080 | E=0.0J | D=0.0sym
   R58 : Acc=97.5% | Loss=0.076 | E=0.0J | D=0.0sym
   R60 : Acc=97.5% | Loss=0.073 | E=0.0J | D=0.0sym
   R62 : Acc=97.6% | Loss=0.070 | E=0.0J | D=0.0sym
   R64 : Acc=97.7% | Loss=0.068 | E=0.0J | D=0.0sym
   R66 : Acc=97.8% | Loss=0.066 | E=0.0J | D=0.0sym
   R68 : Acc=97.8% | Loss=0.064 | E=0.0J | D=0.0sym
   R70 : Acc=97.8% | Loss=0.062 | E=0.0J | D=0.0sym
   R72 : Acc=97.9% | Loss=0.061 | E=0.0J | D=0.0sym
   R74 : Acc=97.9% | Loss=0.060 | E=0.0J | D=0.0sym
   R76 : Acc=98.0% | Loss=0.059 | E=0.0J | D=0.0sym
   R78 : Acc=98.0% | Loss=0.058 | E=0.0J | D=0.0sym
   R80 : Acc=98.1% | Loss=0.057 | E=0.0J | D=0.0sym
   R82 : Acc=98.1% | Loss=0.055 | E=0.0J | D=0.0sym
   R84 : Acc=98.2% | Loss=0.054 | E=0.0J | D=0.0sym
   R86 : Acc=98.2% | Loss=0.053 | E=0.0J | D=0.0sym
   R88 : Acc=98.3% | Loss=0.053 | E=0.0J | D=0.0sym
   R90 : Acc=98.3% | Loss=0.052 | E=0.0J | D=0.0sym
   R92 : Acc=98.3% | Loss=0.051 | E=0.0J | D=0.0sym
   R94 : Acc=98.3% | Loss=0.050 | E=0.0J | D=0.0sym
   R96 : Acc=98.3% | Loss=0.050 | E=0.0J | D=0.0sym
   R98 : Acc=98.3% | Loss=0.049 | E=0.0J | D=0.0sym
   R100: Acc=98.3% | Loss=0.049 | E=0.0J | D=0.0sym
>> Scheme: UNIFORM ...
   R2  : Acc=10.3% | Loss=2.300 | E=770.1J | D=102.0sym
   R4  : Acc=20.4% | Loss=2.289 | E=1868.7J | D=208.0sym
   R6  : Acc=37.4% | Loss=2.271 | E=2783.6J | D=320.0sym
   R8  : Acc=44.2% | Loss=2.234 | E=3575.0J | D=414.0sym
   R10 : Acc=48.7% | Loss=2.130 | E=4626.5J | D=524.0sym
   R12 : Acc=57.1% | Loss=1.751 | E=5390.7J | D=608.0sym
   R14 : Acc=74.9% | Loss=0.975 | E=6630.3J | D=718.0sym
   R16 : Acc=76.5% | Loss=0.734 | E=7588.4J | D=824.0sym
   R18 : Acc=72.3% | Loss=1.293 | E=8800.6J | D=942.0sym
   R20 : Acc=77.0% | Loss=1.446 | E=9790.9J | D=1040.0sym
   R22 : Acc=83.3% | Loss=0.947 | E=10611.5J | D=1146.0sym
   R24 : Acc=87.0% | Loss=0.509 | E=11306.7J | D=1238.0sym
   R26 : Acc=87.6% | Loss=0.399 | E=12456.3J | D=1352.0sym
   R28 : Acc=87.1% | Loss=0.442 | E=13387.1J | D=1456.0sym
   R30 : Acc=89.1% | Loss=0.411 | E=14601.1J | D=1568.0sym
   R32 : Acc=91.5% | Loss=0.312 | E=15710.4J | D=1676.0sym
   R34 : Acc=92.6% | Loss=0.234 | E=17015.3J | D=1790.0sym
   R36 : Acc=93.5% | Loss=0.208 | E=17943.7J | D=1886.0sym
   R38 : Acc=93.6% | Loss=0.209 | E=18750.3J | D=1972.0sym
   R40 : Acc=93.9% | Loss=0.204 | E=19855.6J | D=2080.0sym
