
--- Testing Combo: B=8, P_max=2.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_8bit_2.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=17.4% | Loss=2.298 | E=29.3J | D=196.0sym
   R4  : Acc=20.4% | Loss=2.275 | E=56.3J | D=410.0sym
   R6  : Acc=36.1% | Loss=2.221 | E=84.3J | D=622.0sym
   R8  : Acc=53.3% | Loss=2.035 | E=111.2J | D=807.5sym
   R10 : Acc=70.8% | Loss=1.513 | E=141.5J | D=1010.8sym
   R12 : Acc=78.7% | Loss=0.807 | E=170.7J | D=1188.5sym
   R14 : Acc=82.2% | Loss=0.573 | E=200.4J | D=1381.8sym
   R16 : Acc=83.0% | Loss=0.669 | E=227.9J | D=1593.0sym
   R18 : Acc=84.9% | Loss=0.709 | E=251.7J | D=1796.8sym
   R20 : Acc=88.0% | Loss=0.558 | E=280.4J | D=1981.0sym
   R22 : Acc=89.7% | Loss=0.399 | E=306.9J | D=2195.0sym
   R24 : Acc=90.7% | Loss=0.311 | E=340.1J | D=2418.5sym
   R26 : Acc=91.3% | Loss=0.291 | E=372.3J | D=2610.2sym
   R28 : Acc=92.2% | Loss=0.286 | E=400.7J | D=2801.0sym
   R30 : Acc=93.2% | Loss=0.261 | E=429.7J | D=2973.2sym
   R32 : Acc=93.9% | Loss=0.224 | E=459.3J | D=3173.5sym
   R34 : Acc=94.4% | Loss=0.193 | E=486.4J | D=3372.2sym
   R36 : Acc=94.5% | Loss=0.173 | E=516.2J | D=3582.8sym
   R38 : Acc=94.9% | Loss=0.161 | E=536.9J | D=3801.8sym
   R40 : Acc=95.2% | Loss=0.151 | E=564.0J | D=3990.5sym
   R42 : Acc=95.5% | Loss=0.139 | E=595.2J | D=4177.5sym
   R44 : Acc=96.0% | Loss=0.128 | E=627.5J | D=4366.0sym
   R46 : Acc=96.3% | Loss=0.119 | E=659.0J | D=4567.2sym
   R48 : Acc=96.5% | Loss=0.114 | E=686.8J | D=4759.5sym
   R50 : Acc=96.6% | Loss=0.109 | E=709.9J | D=4993.2sym
   R52 : Acc=96.7% | Loss=0.105 | E=743.7J | D=5208.8sym
   R54 : Acc=96.8% | Loss=0.100 | E=765.7J | D=5435.0sym
   R56 : Acc=96.9% | Loss=0.095 | E=794.3J | D=5645.8sym
   R58 : Acc=97.1% | Loss=0.091 | E=822.0J | D=5860.5sym
   R60 : Acc=97.2% | Loss=0.087 | E=846.0J | D=6065.2sym
   R62 : Acc=97.3% | Loss=0.084 | E=872.4J | D=6272.5sym
