
--- Testing Combo: B=8, P_max=5.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_8bit_5.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=10.8% | Loss=2.301 | E=62.4J | D=154.5sym
   R4  : Acc=10.9% | Loss=2.299 | E=120.7J | D=271.5sym
   R6  : Acc=13.1% | Loss=2.299 | E=192.2J | D=398.0sym
   R8  : Acc=12.6% | Loss=2.321 | E=265.6J | D=572.5sym
   R10 : Acc=10.7% | Loss=2.387 | E=317.9J | D=715.5sym
   R12 : Acc=10.1% | Loss=2.419 | E=378.1J | D=852.0sym
   R14 : Acc=21.7% | Loss=2.245 | E=437.1J | D=1007.2sym
   R16 : Acc=28.8% | Loss=2.111 | E=494.7J | D=1168.8sym
   R18 : Acc=37.5% | Loss=1.998 | E=553.9J | D=1296.2sym
   R20 : Acc=32.5% | Loss=1.921 | E=606.5J | D=1423.8sym
   R22 : Acc=38.2% | Loss=1.833 | E=659.8J | D=1565.0sym
   R24 : Acc=45.3% | Loss=1.735 | E=707.5J | D=1694.5sym
   R26 : Acc=50.6% | Loss=1.633 | E=770.6J | D=1810.5sym
   R28 : Acc=54.8% | Loss=1.534 | E=829.1J | D=1944.2sym
   R30 : Acc=53.5% | Loss=1.457 | E=893.2J | D=2108.0sym
   R32 : Acc=52.7% | Loss=1.391 | E=955.5J | D=2252.0sym
   R34 : Acc=54.3% | Loss=1.337 | E=1011.4J | D=2388.8sym
   R36 : Acc=57.5% | Loss=1.251 | E=1069.6J | D=2529.0sym
   R38 : Acc=60.5% | Loss=1.154 | E=1133.2J | D=2702.2sym
   R40 : Acc=65.3% | Loss=1.065 | E=1188.0J | D=2868.8sym
   R42 : Acc=69.1% | Loss=1.004 | E=1248.9J | D=2998.0sym
   R44 : Acc=68.9% | Loss=0.977 | E=1328.0J | D=3155.8sym
   R46 : Acc=70.4% | Loss=0.944 | E=1395.8J | D=3304.5sym
   R48 : Acc=71.8% | Loss=0.914 | E=1449.4J | D=3445.2sym
   R50 : Acc=72.2% | Loss=0.893 | E=1507.0J | D=3575.8sym
   R52 : Acc=72.1% | Loss=0.879 | E=1560.7J | D=3701.5sym
   R54 : Acc=72.1% | Loss=0.863 | E=1612.5J | D=3827.8sym
   R56 : Acc=73.8% | Loss=0.825 | E=1660.4J | D=3968.8sym
   R58 : Acc=75.1% | Loss=0.795 | E=1719.6J | D=4088.8sym
   R60 : Acc=76.0% | Loss=0.768 | E=1777.8J | D=4240.5sym
   R62 : Acc=76.8% | Loss=0.743 | E=1842.4J | D=4358.0sym
   R64 : Acc=77.6% | Loss=0.716 | E=1921.5J | D=4504.5sym
   R66 : Acc=78.5% | Loss=0.690 | E=1980.8J | D=4657.2sym
   R68 : Acc=79.2% | Loss=0.666 | E=2037.4J | D=4809.2sym
   R70 : Acc=79.9% | Loss=0.645 | E=2097.5J | D=4945.2sym
   R72 : Acc=80.0% | Loss=0.633 | E=2160.8J | D=5086.2sym
   R74 : Acc=80.2% | Loss=0.621 | E=2223.4J | D=5244.8sym
   R76 : Acc=81.1% | Loss=0.600 | E=2292.1J | D=5357.0sym
   R78 : Acc=82.2% | Loss=0.579 | E=2359.3J | D=5484.0sym
   R80 : Acc=82.5% | Loss=0.568 | E=2426.5J | D=5615.0sym
   R82 : Acc=82.8% | Loss=0.556 | E=2477.7J | D=5739.2sym
   R84 : Acc=83.2% | Loss=0.546 | E=2540.6J | D=5887.5sym
   R86 : Acc=83.5% | Loss=0.539 | E=2605.6J | D=6011.5sym
   R88 : Acc=83.7% | Loss=0.534 | E=2674.4J | D=6162.8sym
   R90 : Acc=83.6% | Loss=0.531 | E=2730.0J | D=6289.5sym
   R92 : Acc=83.9% | Loss=0.523 | E=2785.7J | D=6443.2sym
   R94 : Acc=84.3% | Loss=0.510 | E=2846.7J | D=6593.8sym
   R96 : Acc=84.7% | Loss=0.500 | E=2920.7J | D=6733.8sym
   R98 : Acc=84.8% | Loss=0.494 | E=2992.8J | D=6869.8sym
   R100: Acc=84.8% | Loss=0.490 | E=3055.9J | D=6993.8sym
>> Scheme: IDEAL ...
   R2  : Acc=12.6% | Loss=2.306 | E=0.0J | D=0.0sym
   R4  : Acc=9.9% | Loss=2.301 | E=0.0J | D=0.0sym
   R6  : Acc=9.8% | Loss=2.318 | E=0.0J | D=0.0sym
   R8  : Acc=9.9% | Loss=2.367 | E=0.0J | D=0.0sym
   R10 : Acc=18.5% | Loss=2.257 | E=0.0J | D=0.0sym
   R12 : Acc=20.1% | Loss=2.051 | E=0.0J | D=0.0sym
   R14 : Acc=23.8% | Loss=2.018 | E=0.0J | D=0.0sym
   R16 : Acc=35.0% | Loss=1.950 | E=0.0J | D=0.0sym
   R18 : Acc=45.7% | Loss=1.810 | E=0.0J | D=0.0sym
   R20 : Acc=52.2% | Loss=1.718 | E=0.0J | D=0.0sym
   R22 : Acc=46.3% | Loss=1.663 | E=0.0J | D=0.0sym
   R24 : Acc=44.1% | Loss=1.598 | E=0.0J | D=0.0sym
   R26 : Acc=46.3% | Loss=1.506 | E=0.0J | D=0.0sym
   R28 : Acc=52.4% | Loss=1.383 | E=0.0J | D=0.0sym
   R30 : Acc=60.2% | Loss=1.234 | E=0.0J | D=0.0sym
   R32 : Acc=65.7% | Loss=1.115 | E=0.0J | D=0.0sym
   R34 : Acc=68.7% | Loss=1.045 | E=0.0J | D=0.0sym
   R36 : Acc=71.2% | Loss=0.982 | E=0.0J | D=0.0sym
   R38 : Acc=72.3% | Loss=0.921 | E=0.0J | D=0.0sym
   R40 : Acc=73.1% | Loss=0.884 | E=0.0J | D=0.0sym
   R42 : Acc=73.6% | Loss=0.862 | E=0.0J | D=0.0sym
   R44 : Acc=74.8% | Loss=0.837 | E=0.0J | D=0.0sym
   R46 : Acc=75.8% | Loss=0.808 | E=0.0J | D=0.0sym
   R48 : Acc=76.1% | Loss=0.783 | E=0.0J | D=0.0sym
   R50 : Acc=76.8% | Loss=0.760 | E=0.0J | D=0.0sym
   R52 : Acc=77.8% | Loss=0.735 | E=0.0J | D=0.0sym
   R54 : Acc=78.6% | Loss=0.711 | E=0.0J | D=0.0sym
   R56 : Acc=79.4% | Loss=0.687 | E=0.0J | D=0.0sym
   R58 : Acc=79.9% | Loss=0.664 | E=0.0J | D=0.0sym
   R60 : Acc=80.5% | Loss=0.644 | E=0.0J | D=0.0sym
   R62 : Acc=81.0% | Loss=0.625 | E=0.0J | D=0.0sym
   R64 : Acc=81.3% | Loss=0.607 | E=0.0J | D=0.0sym
   R66 : Acc=81.9% | Loss=0.590 | E=0.0J | D=0.0sym
   R68 : Acc=82.1% | Loss=0.575 | E=0.0J | D=0.0sym
   R70 : Acc=82.5% | Loss=0.563 | E=0.0J | D=0.0sym
   R72 : Acc=82.9% | Loss=0.552 | E=0.0J | D=0.0sym
   R74 : Acc=83.4% | Loss=0.540 | E=0.0J | D=0.0sym
   R76 : Acc=83.6% | Loss=0.531 | E=0.0J | D=0.0sym
   R78 : Acc=83.9% | Loss=0.523 | E=0.0J | D=0.0sym
   R80 : Acc=84.1% | Loss=0.514 | E=0.0J | D=0.0sym
   R82 : Acc=84.5% | Loss=0.505 | E=0.0J | D=0.0sym
   R84 : Acc=84.7% | Loss=0.497 | E=0.0J | D=0.0sym
   R86 : Acc=85.0% | Loss=0.490 | E=0.0J | D=0.0sym
   R88 : Acc=85.1% | Loss=0.483 | E=0.0J | D=0.0sym
   R90 : Acc=85.3% | Loss=0.479 | E=0.0J | D=0.0sym
   R92 : Acc=85.3% | Loss=0.475 | E=0.0J | D=0.0sym
   R94 : Acc=85.4% | Loss=0.468 | E=0.0J | D=0.0sym
   R96 : Acc=85.5% | Loss=0.462 | E=0.0J | D=0.0sym
   R98 : Acc=85.6% | Loss=0.458 | E=0.0J | D=0.0sym
   R100: Acc=85.8% | Loss=0.455 | E=0.0J | D=0.0sym
>> Scheme: UNIFORM ...
   R2  : Acc=10.1% | Loss=2.304 | E=366.6J | D=168.0sym
   R4  : Acc=10.1% | Loss=2.303 | E=813.2J | D=386.0sym
   R6  : Acc=10.1% | Loss=2.300 | E=1211.2J | D=548.0sym
   R8  : Acc=10.1% | Loss=2.295 | E=1648.2J | D=760.0sym
   R10 : Acc=10.1% | Loss=2.286 | E=2148.0J | D=968.0sym
   R12 : Acc=10.1% | Loss=2.273 | E=2547.9J | D=1152.0sym
   R14 : Acc=10.2% | Loss=2.282 | E=2949.5J | D=1340.0sym
   R16 : Acc=10.1% | Loss=2.392 | E=3354.2J | D=1538.0sym
   R18 : Acc=10.8% | Loss=2.493 | E=3834.4J | D=1716.0sym
   R20 : Acc=20.1% | Loss=2.246 | E=4187.0J | D=1888.0sym
   R22 : Acc=16.4% | Loss=2.264 | E=4564.4J | D=2050.0sym
   R24 : Acc=30.3% | Loss=2.193 | E=4937.5J | D=2204.0sym
   R26 : Acc=36.5% | Loss=1.999 | E=5291.9J | D=2400.0sym
   R28 : Acc=37.3% | Loss=1.865 | E=5755.2J | D=2590.0sym
   R30 : Acc=39.1% | Loss=1.797 | E=6180.7J | D=2766.0sym
   R32 : Acc=40.2% | Loss=1.713 | E=6605.8J | D=2948.0sym
   R34 : Acc=50.5% | Loss=1.553 | E=7069.1J | D=3126.0sym
   R36 : Acc=58.6% | Loss=1.377 | E=7438.6J | D=3294.0sym
   R38 : Acc=53.8% | Loss=1.305 | E=7823.4J | D=3458.0sym
   R40 : Acc=51.6% | Loss=1.339 | E=8278.5J | D=3654.0sym
   R42 : Acc=54.5% | Loss=1.288 | E=8745.5J | D=3818.0sym
   R44 : Acc=62.9% | Loss=1.039 | E=9215.2J | D=3984.0sym
   R46 : Acc=61.8% | Loss=1.048 | E=9633.3J | D=4164.0sym
   R48 : Acc=56.7% | Loss=1.213 | E=10051.1J | D=4332.0sym
   R50 : Acc=59.0% | Loss=1.176 | E=10445.9J | D=4504.0sym
   R52 : Acc=63.4% | Loss=1.044 | E=10868.3J | D=4680.0sym
   R54 : Acc=63.7% | Loss=0.986 | E=11302.2J | D=4862.0sym
   R56 : Acc=62.0% | Loss=1.005 | E=11735.5J | D=5048.0sym
   R58 : Acc=60.8% | Loss=1.034 | E=12187.7J | D=5208.0sym
   R60 : Acc=64.7% | Loss=0.978 | E=12581.6J | D=5366.0sym
   R62 : Acc=71.2% | Loss=0.890 | E=13050.6J | D=5544.0sym
   R64 : Acc=72.3% | Loss=0.865 | E=13434.0J | D=5710.0sym
   R66 : Acc=70.3% | Loss=0.867 | E=13807.7J | D=5876.0sym
   R68 : Acc=69.5% | Loss=0.848 | E=14205.8J | D=6030.0sym
   R70 : Acc=70.7% | Loss=0.821 | E=14612.8J | D=6192.0sym
   R72 : Acc=71.2% | Loss=0.802 | E=15042.1J | D=6370.0sym
   R74 : Acc=73.7% | Loss=0.766 | E=15456.0J | D=6558.0sym
   R76 : Acc=75.8% | Loss=0.727 | E=15871.8J | D=6738.0sym
   R78 : Acc=74.0% | Loss=0.753 | E=16285.6J | D=6904.0sym
   R80 : Acc=73.0% | Loss=0.773 | E=16775.8J | D=7084.0sym
   R82 : Acc=78.0% | Loss=0.657 | E=17253.9J | D=7268.0sym
   R84 : Acc=81.7% | Loss=0.595 | E=17696.0J | D=7450.0sym
   R86 : Acc=76.8% | Loss=0.686 | E=18174.0J | D=7634.0sym
   R88 : Acc=74.5% | Loss=0.735 | E=18542.2J | D=7844.0sym
   R90 : Acc=78.1% | Loss=0.636 | E=18938.8J | D=8034.0sym
   R92 : Acc=81.6% | Loss=0.557 | E=19304.8J | D=8224.0sym
   R94 : Acc=78.9% | Loss=0.608 | E=19705.6J | D=8420.0sym
   R96 : Acc=75.9% | Loss=0.687 | E=20096.9J | D=8592.0sym
   R98 : Acc=78.2% | Loss=0.642 | E=20490.4J | D=8786.0sym
   R100: Acc=81.3% | Loss=0.565 | E=20937.0J | D=8984.0sym
>> Scheme: ANDP ...
   R2  : Acc=8.8% | Loss=2.302 | E=429.6J | D=640.0sym
   R4  : Acc=11.3% | Loss=2.301 | E=862.1J | D=1280.0sym
   R6  : Acc=13.8% | Loss=2.301 | E=1369.5J | D=1920.0sym
   R8  : Acc=14.2% | Loss=2.324 | E=1865.4J | D=2560.0sym
   R10 : Acc=15.3% | Loss=2.394 | E=2369.3J | D=3200.0sym
   R12 : Acc=22.5% | Loss=2.454 | E=2961.0J | D=3840.0sym
   R14 : Acc=24.0% | Loss=2.395 | E=3357.4J | D=4480.0sym
   R16 : Acc=20.4% | Loss=2.125 | E=3751.7J | D=5120.0sym
   R18 : Acc=13.0% | Loss=2.075 | E=4090.9J | D=5760.0sym
   R20 : Acc=16.9% | Loss=2.085 | E=4544.6J | D=6400.0sym
   R22 : Acc=28.6% | Loss=1.910 | E=5031.3J | D=7040.0sym
   R24 : Acc=51.8% | Loss=1.791 | E=5490.3J | D=7680.0sym
   R26 : Acc=54.2% | Loss=1.734 | E=5766.4J | D=8320.0sym
   R28 : Acc=50.0% | Loss=1.674 | E=6217.0J | D=8960.0sym
   R30 : Acc=50.2% | Loss=1.586 | E=6519.0J | D=9600.0sym
   R32 : Acc=56.7% | Loss=1.444 | E=7055.7J | D=10240.0sym
   R34 : Acc=64.0% | Loss=1.277 | E=7471.5J | D=10880.0sym
   R36 : Acc=65.9% | Loss=1.152 | E=8122.4J | D=11520.0sym
   R38 : Acc=68.5% | Loss=1.056 | E=8448.3J | D=12160.0sym
   R40 : Acc=69.3% | Loss=1.005 | E=9100.3J | D=12800.0sym
   R42 : Acc=67.9% | Loss=1.002 | E=9639.6J | D=13440.0sym
   R44 : Acc=68.9% | Loss=0.972 | E=10106.8J | D=14080.0sym
   R46 : Acc=71.8% | Loss=0.915 | E=10749.1J | D=14720.0sym
   R48 : Acc=74.5% | Loss=0.872 | E=11049.7J | D=15360.0sym
   R50 : Acc=75.7% | Loss=0.837 | E=11512.2J | D=16000.0sym
   R52 : Acc=76.8% | Loss=0.809 | E=12049.4J | D=16640.0sym
   R54 : Acc=77.6% | Loss=0.784 | E=12449.7J | D=17280.0sym
   R56 : Acc=77.9% | Loss=0.762 | E=12736.8J | D=17920.0sym
   R58 : Acc=78.6% | Loss=0.733 | E=13189.1J | D=18560.0sym
   R60 : Acc=79.2% | Loss=0.707 | E=13563.5J | D=19200.0sym
   R62 : Acc=79.7% | Loss=0.686 | E=14041.7J | D=19840.0sym
   R64 : Acc=80.3% | Loss=0.660 | E=14472.8J | D=20480.0sym
   R66 : Acc=81.0% | Loss=0.635 | E=15034.5J | D=21120.0sym
   R68 : Acc=81.6% | Loss=0.626 | E=15373.3J | D=21760.0sym
   R70 : Acc=81.4% | Loss=0.620 | E=15800.5J | D=22400.0sym
   R72 : Acc=81.6% | Loss=0.607 | E=16417.9J | D=23040.0sym
   R74 : Acc=81.3% | Loss=0.607 | E=16931.1J | D=23680.0sym
   R76 : Acc=81.3% | Loss=0.605 | E=17315.0J | D=24320.0sym
   R78 : Acc=82.6% | Loss=0.577 | E=17613.6J | D=24960.0sym
   R80 : Acc=83.2% | Loss=0.558 | E=18065.3J | D=25600.0sym
   R82 : Acc=82.9% | Loss=0.562 | E=18612.0J | D=26240.0sym
   R84 : Acc=83.4% | Loss=0.547 | E=19049.8J | D=26880.0sym
   R86 : Acc=83.8% | Loss=0.540 | E=19539.8J | D=27520.0sym
   R88 : Acc=83.0% | Loss=0.546 | E=19933.4J | D=28160.0sym
   R90 : Acc=83.7% | Loss=0.536 | E=20470.5J | D=28800.0sym
   R92 : Acc=83.9% | Loss=0.527 | E=21115.8J | D=29440.0sym
   R94 : Acc=84.2% | Loss=0.520 | E=21543.9J | D=30080.0sym
   R96 : Acc=84.3% | Loss=0.516 | E=21808.4J | D=30720.0sym
   R98 : Acc=84.0% | Loss=0.522 | E=22153.9J | D=31360.0sym
   R100: Acc=84.3% | Loss=0.515 | E=22608.2J | D=32000.0sym
==> Saved Plot: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_8bit_5.0w_Eps10.0.png

