
--- Testing Combo: B=4, P_max=30.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_4bit_30.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=17.4% | Loss=2.288 | E=139.8J | D=46.5sym
   R4  : Acc=29.6% | Loss=2.253 | E=303.7J | D=92.0sym
   R6  : Acc=47.2% | Loss=2.137 | E=418.8J | D=153.5sym
   R8  : Acc=58.1% | Loss=1.728 | E=608.0J | D=203.0sym
   R10 : Acc=71.8% | Loss=0.982 | E=751.9J | D=246.5sym
   R12 : Acc=79.5% | Loss=0.659 | E=970.3J | D=302.8sym
   R14 : Acc=82.3% | Loss=0.737 | E=1133.2J | D=352.8sym
   R16 : Acc=84.1% | Loss=0.748 | E=1297.7J | D=399.5sym
   R18 : Acc=86.0% | Loss=0.569 | E=1507.7J | D=458.5sym
   R20 : Acc=87.7% | Loss=0.397 | E=1665.5J | D=502.0sym
   R22 : Acc=89.2% | Loss=0.348 | E=1828.3J | D=549.0sym
   R24 : Acc=90.2% | Loss=0.336 | E=1999.8J | D=598.5sym
   R26 : Acc=91.2% | Loss=0.289 | E=2219.0J | D=653.8sym
   R28 : Acc=92.5% | Loss=0.236 | E=2391.5J | D=701.8sym
   R30 : Acc=93.5% | Loss=0.205 | E=2583.1J | D=750.8sym
   R32 : Acc=93.8% | Loss=0.189 | E=2745.2J | D=797.5sym
   R34 : Acc=94.3% | Loss=0.176 | E=2957.0J | D=847.2sym
   R36 : Acc=94.8% | Loss=0.161 | E=3148.2J | D=897.0sym
   R38 : Acc=95.2% | Loss=0.147 | E=3284.3J | D=941.0sym
   R40 : Acc=95.5% | Loss=0.135 | E=3412.3J | D=984.0sym
   R42 : Acc=95.8% | Loss=0.126 | E=3530.1J | D=1032.2sym
   R44 : Acc=96.1% | Loss=0.120 | E=3682.9J | D=1079.2sym
   R46 : Acc=96.3% | Loss=0.114 | E=3870.5J | D=1126.0sym
   R48 : Acc=96.5% | Loss=0.109 | E=4040.3J | D=1177.5sym
   R50 : Acc=96.6% | Loss=0.105 | E=4189.7J | D=1220.5sym
   R52 : Acc=96.8% | Loss=0.101 | E=4311.0J | D=1266.0sym
   R54 : Acc=97.0% | Loss=0.097 | E=4477.9J | D=1313.5sym
   R56 : Acc=97.0% | Loss=0.093 | E=4626.2J | D=1364.8sym
   R58 : Acc=97.0% | Loss=0.090 | E=4749.5J | D=1406.8sym
   R60 : Acc=97.2% | Loss=0.088 | E=4907.9J | D=1456.0sym
   R62 : Acc=97.2% | Loss=0.085 | E=5095.4J | D=1504.8sym
   R64 : Acc=97.3% | Loss=0.083 | E=5251.2J | D=1553.2sym
   R66 : Acc=97.4% | Loss=0.081 | E=5392.7J | D=1602.2sym
   R68 : Acc=97.5% | Loss=0.079 | E=5556.8J | D=1651.0sym
   R70 : Acc=97.6% | Loss=0.078 | E=5650.6J | D=1698.2sym
   R72 : Acc=97.6% | Loss=0.076 | E=5804.8J | D=1750.8sym
   R74 : Acc=97.7% | Loss=0.074 | E=5975.4J | D=1797.2sym
   R76 : Acc=97.7% | Loss=0.073 | E=6085.4J | D=1841.2sym
   R78 : Acc=97.7% | Loss=0.071 | E=6240.6J | D=1889.5sym
   R80 : Acc=97.8% | Loss=0.071 | E=6396.9J | D=1942.5sym
   R82 : Acc=97.8% | Loss=0.070 | E=6577.5J | D=2000.0sym
   R84 : Acc=97.8% | Loss=0.069 | E=6758.7J | D=2051.5sym
   R86 : Acc=97.8% | Loss=0.068 | E=6942.1J | D=2106.0sym
   R88 : Acc=97.8% | Loss=0.068 | E=7152.7J | D=2157.2sym
   R90 : Acc=97.9% | Loss=0.067 | E=7305.6J | D=2206.0sym
   R92 : Acc=98.0% | Loss=0.066 | E=7448.1J | D=2249.0sym
   R94 : Acc=98.0% | Loss=0.065 | E=7598.0J | D=2293.2sym
   R96 : Acc=98.0% | Loss=0.064 | E=7819.1J | D=2352.0sym
   R98 : Acc=97.9% | Loss=0.063 | E=8003.3J | D=2413.2sym
   R100: Acc=97.9% | Loss=0.063 | E=8173.8J | D=2462.8sym
>> Scheme: IDEAL ...
   R2  : Acc=10.2% | Loss=2.305 | E=0.0J | D=0.0sym
   R4  : Acc=10.1% | Loss=2.300 | E=0.0J | D=0.0sym
   R6  : Acc=13.6% | Loss=2.291 | E=0.0J | D=0.0sym
   R8  : Acc=28.6% | Loss=2.278 | E=0.0J | D=0.0sym
   R10 : Acc=31.5% | Loss=2.256 | E=0.0J | D=0.0sym
   R12 : Acc=37.1% | Loss=2.203 | E=0.0J | D=0.0sym
   R14 : Acc=51.9% | Loss=2.009 | E=0.0J | D=0.0sym
   R16 : Acc=75.5% | Loss=1.318 | E=0.0J | D=0.0sym
   R18 : Acc=78.2% | Loss=0.678 | E=0.0J | D=0.0sym
   R20 : Acc=78.9% | Loss=0.823 | E=0.0J | D=0.0sym
   R22 : Acc=83.3% | Loss=0.896 | E=0.0J | D=0.0sym
   R24 : Acc=87.7% | Loss=0.665 | E=0.0J | D=0.0sym
   R26 : Acc=89.9% | Loss=0.391 | E=0.0J | D=0.0sym
   R28 : Acc=90.4% | Loss=0.303 | E=0.0J | D=0.0sym
   R30 : Acc=91.0% | Loss=0.313 | E=0.0J | D=0.0sym
   R32 : Acc=91.6% | Loss=0.307 | E=0.0J | D=0.0sym
   R34 : Acc=93.0% | Loss=0.247 | E=0.0J | D=0.0sym
   R36 : Acc=94.3% | Loss=0.192 | E=0.0J | D=0.0sym
   R38 : Acc=94.7% | Loss=0.170 | E=0.0J | D=0.0sym
   R40 : Acc=94.8% | Loss=0.163 | E=0.0J | D=0.0sym
   R42 : Acc=95.1% | Loss=0.154 | E=0.0J | D=0.0sym
   R44 : Acc=95.6% | Loss=0.141 | E=0.0J | D=0.0sym
   R46 : Acc=96.1% | Loss=0.127 | E=0.0J | D=0.0sym
   R48 : Acc=96.3% | Loss=0.118 | E=0.0J | D=0.0sym
   R50 : Acc=96.5% | Loss=0.112 | E=0.0J | D=0.0sym
   R52 : Acc=96.7% | Loss=0.108 | E=0.0J | D=0.0sym
   R54 : Acc=96.9% | Loss=0.103 | E=0.0J | D=0.0sym
   R56 : Acc=97.0% | Loss=0.098 | E=0.0J | D=0.0sym
   R58 : Acc=97.2% | Loss=0.094 | E=0.0J | D=0.0sym
   R60 : Acc=97.2% | Loss=0.091 | E=0.0J | D=0.0sym
   R62 : Acc=97.4% | Loss=0.088 | E=0.0J | D=0.0sym
   R64 : Acc=97.5% | Loss=0.085 | E=0.0J | D=0.0sym
   R66 : Acc=97.6% | Loss=0.082 | E=0.0J | D=0.0sym
   R68 : Acc=97.7% | Loss=0.079 | E=0.0J | D=0.0sym
   R70 : Acc=97.7% | Loss=0.077 | E=0.0J | D=0.0sym
   R72 : Acc=97.8% | Loss=0.075 | E=0.0J | D=0.0sym
   R74 : Acc=97.8% | Loss=0.074 | E=0.0J | D=0.0sym
   R76 : Acc=97.8% | Loss=0.072 | E=0.0J | D=0.0sym
   R78 : Acc=97.9% | Loss=0.071 | E=0.0J | D=0.0sym
   R80 : Acc=97.9% | Loss=0.070 | E=0.0J | D=0.0sym
   R82 : Acc=98.0% | Loss=0.068 | E=0.0J | D=0.0sym
   R84 : Acc=98.0% | Loss=0.067 | E=0.0J | D=0.0sym
   R86 : Acc=98.0% | Loss=0.065 | E=0.0J | D=0.0sym
   R88 : Acc=98.0% | Loss=0.064 | E=0.0J | D=0.0sym
   R90 : Acc=98.0% | Loss=0.063 | E=0.0J | D=0.0sym
   R92 : Acc=98.0% | Loss=0.062 | E=0.0J | D=0.0sym
   R94 : Acc=98.1% | Loss=0.061 | E=0.0J | D=0.0sym
   R96 : Acc=98.1% | Loss=0.061 | E=0.0J | D=0.0sym
   R98 : Acc=98.1% | Loss=0.060 | E=0.0J | D=0.0sym
   R100: Acc=98.1% | Loss=0.059 | E=0.0J | D=0.0sym
>> Scheme: UNIFORM ...
   R2  : Acc=7.2% | Loss=2.297 | E=797.4J | D=65.0sym
   R4  : Acc=18.6% | Loss=2.278 | E=1532.2J | D=121.0sym
   R6  : Acc=44.6% | Loss=2.230 | E=2098.8J | D=172.0sym
   R8  : Acc=51.7% | Loss=2.085 | E=2869.3J | D=234.0sym
   R10 : Acc=62.5% | Loss=1.588 | E=3470.3J | D=289.0sym
   R12 : Acc=75.0% | Loss=0.834 | E=4077.0J | D=345.0sym
   R14 : Acc=79.2% | Loss=0.709 | E=4854.3J | D=405.0sym
   R16 : Acc=79.1% | Loss=1.042 | E=5443.8J | D=460.0sym
   R18 : Acc=81.6% | Loss=0.992 | E=6031.4J | D=511.0sym
   R20 : Acc=86.1% | Loss=0.605 | E=6533.1J | D=563.0sym
   R22 : Acc=89.1% | Loss=0.364 | E=7171.2J | D=621.0sym
   R24 : Acc=89.9% | Loss=0.344 | E=7803.6J | D=683.0sym
   R26 : Acc=89.7% | Loss=0.372 | E=8316.1J | D=731.0sym
   R28 : Acc=91.6% | Loss=0.318 | E=8974.7J | D=783.0sym
   R30 : Acc=92.9% | Loss=0.242 | E=9578.6J | D=839.0sym
   R32 : Acc=93.8% | Loss=0.199 | E=10201.8J | D=887.0sym
   R34 : Acc=94.3% | Loss=0.179 | E=10693.2J | D=934.0sym
   R36 : Acc=94.7% | Loss=0.168 | E=11303.7J | D=989.0sym
   R38 : Acc=95.0% | Loss=0.157 | E=11806.8J | D=1039.0sym
   R40 : Acc=95.5% | Loss=0.144 | E=12469.7J | D=1095.0sym
   R42 : Acc=95.8% | Loss=0.133 | E=13106.9J | D=1153.0sym
   R44 : Acc=96.2% | Loss=0.124 | E=13604.3J | D=1210.0sym
   R46 : Acc=96.4% | Loss=0.117 | E=14074.7J | D=1265.0sym
   R48 : Acc=96.6% | Loss=0.113 | E=14852.3J | D=1327.0sym
   R50 : Acc=96.7% | Loss=0.107 | E=15453.9J | D=1374.0sym
   R52 : Acc=96.7% | Loss=0.102 | E=16054.3J | D=1423.0sym
   R54 : Acc=96.8% | Loss=0.097 | E=16641.9J | D=1475.0sym
   R56 : Acc=97.1% | Loss=0.093 | E=17180.7J | D=1529.0sym
   R58 : Acc=97.2% | Loss=0.089 | E=17739.1J | D=1583.0sym
   R60 : Acc=97.3% | Loss=0.086 | E=18728.4J | D=1648.0sym
   R62 : Acc=97.4% | Loss=0.084 | E=19489.2J | D=1704.0sym
   R64 : Acc=97.4% | Loss=0.083 | E=19962.4J | D=1756.0sym
   R66 : Acc=97.4% | Loss=0.080 | E=20547.6J | D=1805.0sym
   R68 : Acc=97.6% | Loss=0.077 | E=21297.7J | D=1857.0sym
   R70 : Acc=97.7% | Loss=0.074 | E=21987.4J | D=1908.0sym
   R72 : Acc=97.7% | Loss=0.073 | E=22474.1J | D=1963.0sym
   R74 : Acc=97.8% | Loss=0.071 | E=23206.8J | D=2022.0sym
   R76 : Acc=97.8% | Loss=0.070 | E=23742.4J | D=2077.0sym
   R78 : Acc=97.9% | Loss=0.069 | E=24245.1J | D=2127.0sym
   R80 : Acc=97.9% | Loss=0.067 | E=24820.4J | D=2174.0sym
   R82 : Acc=98.0% | Loss=0.066 | E=25365.1J | D=2226.0sym
   R84 : Acc=98.0% | Loss=0.065 | E=25939.7J | D=2276.0sym
   R86 : Acc=97.9% | Loss=0.064 | E=26328.3J | D=2324.0sym
   R88 : Acc=98.0% | Loss=0.063 | E=26861.7J | D=2376.0sym
   R90 : Acc=98.0% | Loss=0.062 | E=27414.9J | D=2426.0sym
   R92 : Acc=98.1% | Loss=0.061 | E=28065.6J | D=2483.0sym
   R94 : Acc=98.2% | Loss=0.060 | E=28626.7J | D=2537.0sym
   R96 : Acc=98.2% | Loss=0.060 | E=29233.0J | D=2602.0sym
   R98 : Acc=98.2% | Loss=0.060 | E=29778.8J | D=2651.0sym
   R100: Acc=98.2% | Loss=0.060 | E=30330.1J | D=2699.0sym
>> Scheme: ANDP ...
   R2  : Acc=13.9% | Loss=2.299 | E=249.2J | D=320.0sym
   R4  : Acc=20.4% | Loss=2.290 | E=752.4J | D=640.0sym
   R6  : Acc=34.4% | Loss=2.273 | E=1341.3J | D=960.0sym
   R8  : Acc=41.1% | Loss=2.237 | E=1617.5J | D=1280.0sym
   R10 : Acc=47.0% | Loss=2.128 | E=1864.4J | D=1600.0sym
   R12 : Acc=54.3% | Loss=1.734 | E=2128.7J | D=1920.0sym
   R14 : Acc=72.6% | Loss=0.959 | E=2503.6J | D=2240.0sym
   R16 : Acc=79.7% | Loss=0.661 | E=2673.7J | D=2560.0sym
   R18 : Acc=81.3% | Loss=0.868 | E=2884.0J | D=2880.0sym
   R20 : Acc=86.0% | Loss=0.752 | E=3351.9J | D=3200.0sym
   R22 : Acc=89.8% | Loss=0.465 | E=3691.7J | D=3520.0sym
   R24 : Acc=91.5% | Loss=0.297 | E=4152.0J | D=3840.0sym
   R26 : Acc=91.3% | Loss=0.272 | E=4384.8J | D=4160.0sym
   R28 : Acc=91.6% | Loss=0.268 | E=5033.0J | D=4480.0sym
   R30 : Acc=93.2% | Loss=0.223 | E=5249.7J | D=4800.0sym
   R32 : Acc=94.7% | Loss=0.175 | E=5777.6J | D=5120.0sym
   R34 : Acc=95.3% | Loss=0.149 | E=6201.6J | D=5440.0sym
   R36 : Acc=95.8% | Loss=0.140 | E=6752.2J | D=5760.0sym
   R38 : Acc=96.1% | Loss=0.132 | E=7004.1J | D=6080.0sym
   R40 : Acc=96.4% | Loss=0.119 | E=7313.9J | D=6400.0sym
   R42 : Acc=96.7% | Loss=0.104 | E=7577.9J | D=6720.0sym
