
--- Testing Combo: B=4, P_max=1.6W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_4bit_1.6w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=11.4% | Loss=2.301 | E=23.6J | D=118.0sym
   R4  : Acc=12.3% | Loss=2.287 | E=44.3J | D=246.0sym
   R6  : Acc=18.5% | Loss=2.270 | E=67.8J | D=372.8sym
   R8  : Acc=41.9% | Loss=2.242 | E=86.0J | D=499.5sym
   R10 : Acc=45.3% | Loss=2.178 | E=110.4J | D=632.2sym
   R12 : Acc=51.5% | Loss=2.005 | E=132.7J | D=757.0sym
   R14 : Acc=62.8% | Loss=1.590 | E=150.5J | D=886.2sym
   R16 : Acc=73.5% | Loss=0.985 | E=172.1J | D=1001.2sym
   R18 : Acc=79.4% | Loss=0.638 | E=193.2J | D=1131.2sym
   R20 : Acc=81.9% | Loss=0.598 | E=212.1J | D=1253.0sym
   R22 : Acc=84.1% | Loss=0.626 | E=236.0J | D=1380.8sym
   R24 : Acc=86.3% | Loss=0.562 | E=261.8J | D=1492.5sym
   R26 : Acc=88.9% | Loss=0.435 | E=287.1J | D=1621.8sym
   R28 : Acc=90.3% | Loss=0.341 | E=307.7J | D=1755.0sym
   R30 : Acc=91.5% | Loss=0.291 | E=328.2J | D=1874.2sym
   R32 : Acc=92.3% | Loss=0.270 | E=350.6J | D=1997.5sym
   R34 : Acc=92.8% | Loss=0.254 | E=371.3J | D=2122.2sym
   R36 : Acc=93.3% | Loss=0.231 | E=391.4J | D=2238.0sym
   R38 : Acc=93.9% | Loss=0.204 | E=410.5J | D=2357.0sym
   R40 : Acc=94.5% | Loss=0.180 | E=433.7J | D=2484.0sym
   R42 : Acc=94.8% | Loss=0.163 | E=458.2J | D=2610.2sym
   R44 : Acc=95.2% | Loss=0.151 | E=479.3J | D=2744.2sym
   R46 : Acc=95.5% | Loss=0.141 | E=500.3J | D=2859.2sym
   R48 : Acc=95.8% | Loss=0.132 | E=518.2J | D=2983.5sym
   R50 : Acc=96.1% | Loss=0.124 | E=540.9J | D=3104.2sym
   R52 : Acc=96.3% | Loss=0.117 | E=561.5J | D=3233.0sym
   R54 : Acc=96.6% | Loss=0.111 | E=580.2J | D=3360.2sym
   R56 : Acc=96.7% | Loss=0.106 | E=601.8J | D=3485.2sym
   R58 : Acc=96.8% | Loss=0.102 | E=623.1J | D=3608.2sym
   R60 : Acc=97.0% | Loss=0.098 | E=647.3J | D=3739.0sym
   R62 : Acc=97.0% | Loss=0.095 | E=667.1J | D=3869.8sym
   R64 : Acc=97.2% | Loss=0.091 | E=690.1J | D=3994.2sym
   R66 : Acc=97.3% | Loss=0.088 | E=710.2J | D=4125.5sym
   R68 : Acc=97.4% | Loss=0.085 | E=731.0J | D=4244.5sym
   R70 : Acc=97.4% | Loss=0.082 | E=746.2J | D=4368.8sym
   R72 : Acc=97.4% | Loss=0.080 | E=767.3J | D=4484.0sym
   R74 : Acc=97.5% | Loss=0.078 | E=791.9J | D=4601.8sym
   R76 : Acc=97.5% | Loss=0.076 | E=809.3J | D=4727.8sym
   R78 : Acc=97.6% | Loss=0.073 | E=833.9J | D=4856.0sym
   R80 : Acc=97.7% | Loss=0.072 | E=856.4J | D=4977.0sym
   R82 : Acc=97.7% | Loss=0.070 | E=874.5J | D=5107.0sym
   R84 : Acc=97.8% | Loss=0.069 | E=893.9J | D=5226.8sym
   R86 : Acc=97.8% | Loss=0.068 | E=915.2J | D=5355.5sym
   R88 : Acc=97.9% | Loss=0.066 | E=936.9J | D=5476.2sym
   R90 : Acc=97.9% | Loss=0.065 | E=955.2J | D=5597.5sym
   R92 : Acc=98.0% | Loss=0.064 | E=973.4J | D=5727.8sym
   R94 : Acc=98.0% | Loss=0.062 | E=990.4J | D=5838.0sym
   R96 : Acc=98.0% | Loss=0.061 | E=1009.3J | D=5955.2sym
   R98 : Acc=98.1% | Loss=0.060 | E=1036.4J | D=6089.8sym
