
--- Testing Combo: B=16, P_max=2.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_16bit_2.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=14.8% | Loss=2.302 | E=25.3J | D=374.0sym
   R4  : Acc=14.7% | Loss=2.300 | E=55.4J | D=738.0sym
   R6  : Acc=11.8% | Loss=2.295 | E=84.6J | D=1089.8sym
   R8  : Acc=9.9% | Loss=2.289 | E=114.6J | D=1487.2sym
   R10 : Acc=10.2% | Loss=2.290 | E=138.6J | D=1849.2sym
   R12 : Acc=14.4% | Loss=2.311 | E=165.9J | D=2245.8sym
   R14 : Acc=17.1% | Loss=2.350 | E=193.0J | D=2606.5sym
   R16 : Acc=18.1% | Loss=2.334 | E=216.2J | D=2984.5sym
   R18 : Acc=19.8% | Loss=2.230 | E=242.9J | D=3328.2sym
   R20 : Acc=33.3% | Loss=2.106 | E=271.2J | D=3670.0sym
   R22 : Acc=33.8% | Loss=2.017 | E=296.7J | D=4020.0sym
   R24 : Acc=35.9% | Loss=1.963 | E=321.0J | D=4404.8sym
   R26 : Acc=38.8% | Loss=1.905 | E=350.3J | D=4759.2sym
   R28 : Acc=40.6% | Loss=1.832 | E=376.8J | D=5120.2sym
   R30 : Acc=49.3% | Loss=1.748 | E=399.5J | D=5497.5sym
   R32 : Acc=53.9% | Loss=1.677 | E=423.0J | D=5866.0sym
   R34 : Acc=53.8% | Loss=1.619 | E=446.8J | D=6236.0sym
   R36 : Acc=52.8% | Loss=1.557 | E=474.0J | D=6634.5sym
   R38 : Acc=52.4% | Loss=1.485 | E=501.4J | D=6949.2sym
   R40 : Acc=53.3% | Loss=1.411 | E=527.7J | D=7297.2sym
   R42 : Acc=54.8% | Loss=1.338 | E=555.7J | D=7656.8sym
   R44 : Acc=59.6% | Loss=1.252 | E=587.1J | D=7958.8sym
   R46 : Acc=62.9% | Loss=1.185 | E=618.3J | D=8300.8sym
   R48 : Acc=64.4% | Loss=1.131 | E=650.4J | D=8702.2sym
   R50 : Acc=64.8% | Loss=1.092 | E=675.2J | D=9087.2sym
   R52 : Acc=65.5% | Loss=1.064 | E=714.0J | D=9400.8sym
   R54 : Acc=65.4% | Loss=1.056 | E=737.1J | D=9793.5sym
