
--- Testing Combo: B=8, P_max=3.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_8bit_3.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=10.3% | Loss=2.300 | E=34.4J | D=179.5sym
   R4  : Acc=10.2% | Loss=2.295 | E=78.6J | D=342.5sym
   R6  : Acc=10.7% | Loss=2.289 | E=124.3J | D=527.2sym
   R8  : Acc=11.5% | Loss=2.288 | E=164.0J | D=689.0sym
   R10 : Acc=11.8% | Loss=2.303 | E=207.4J | D=865.5sym
   R12 : Acc=14.9% | Loss=2.283 | E=254.4J | D=1046.0sym
   R14 : Acc=27.4% | Loss=2.136 | E=299.9J | D=1237.8sym
   R16 : Acc=46.9% | Loss=1.976 | E=342.5J | D=1406.2sym
   R18 : Acc=49.2% | Loss=1.907 | E=382.6J | D=1554.8sym
   R20 : Acc=49.0% | Loss=1.823 | E=424.3J | D=1721.0sym
   R22 : Acc=51.3% | Loss=1.723 | E=465.2J | D=1900.0sym
   R24 : Acc=51.1% | Loss=1.655 | E=498.8J | D=2088.5sym
   R26 : Acc=50.8% | Loss=1.616 | E=541.2J | D=2258.2sym
   R28 : Acc=50.6% | Loss=1.583 | E=576.1J | D=2423.2sym
   R30 : Acc=53.0% | Loss=1.508 | E=619.2J | D=2587.0sym
   R32 : Acc=56.9% | Loss=1.393 | E=654.5J | D=2750.0sym
   R34 : Acc=59.4% | Loss=1.272 | E=699.9J | D=2902.8sym
   R36 : Acc=62.0% | Loss=1.159 | E=738.5J | D=3079.5sym
   R38 : Acc=65.5% | Loss=1.076 | E=777.1J | D=3217.2sym
   R40 : Acc=67.2% | Loss=1.023 | E=824.0J | D=3389.2sym
   R42 : Acc=68.4% | Loss=0.968 | E=869.4J | D=3551.5sym
   R44 : Acc=70.1% | Loss=0.917 | E=902.1J | D=3756.5sym
   R46 : Acc=71.0% | Loss=0.894 | E=943.1J | D=3966.8sym
   R48 : Acc=70.1% | Loss=0.897 | E=976.7J | D=4160.5sym
   R50 : Acc=71.2% | Loss=0.878 | E=1026.8J | D=4332.5sym
   R52 : Acc=72.2% | Loss=0.850 | E=1067.9J | D=4506.2sym
   R54 : Acc=73.3% | Loss=0.821 | E=1109.0J | D=4685.0sym
   R56 : Acc=74.6% | Loss=0.787 | E=1153.3J | D=4857.2sym
   R58 : Acc=75.0% | Loss=0.772 | E=1191.4J | D=5036.0sym
   R60 : Acc=75.8% | Loss=0.755 | E=1231.7J | D=5209.5sym
   R62 : Acc=76.8% | Loss=0.740 | E=1276.7J | D=5405.0sym
   R64 : Acc=77.3% | Loss=0.725 | E=1318.4J | D=5563.5sym
