
--- Testing Combo: B=4, P_max=2.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_4bit_2.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=16.7% | Loss=2.286 | E=29.4J | D=110.8sym
   R4  : Acc=27.5% | Loss=2.241 | E=62.7J | D=223.0sym
   R6  : Acc=45.3% | Loss=2.113 | E=92.4J | D=334.0sym
   R8  : Acc=65.8% | Loss=1.694 | E=123.4J | D=441.2sym
   R10 : Acc=72.6% | Loss=1.060 | E=142.7J | D=568.2sym
   R12 : Acc=77.9% | Loss=0.693 | E=168.3J | D=685.5sym
   R14 : Acc=80.7% | Loss=0.671 | E=190.2J | D=806.2sym
   R16 : Acc=82.6% | Loss=0.739 | E=212.9J | D=936.8sym
   R18 : Acc=84.9% | Loss=0.718 | E=239.0J | D=1051.5sym
   R20 : Acc=87.0% | Loss=0.566 | E=271.5J | D=1172.8sym
   R22 : Acc=89.3% | Loss=0.387 | E=302.0J | D=1286.2sym
   R24 : Acc=90.7% | Loss=0.312 | E=333.2J | D=1393.2sym
   R26 : Acc=91.3% | Loss=0.311 | E=363.5J | D=1510.0sym
   R28 : Acc=92.0% | Loss=0.301 | E=394.7J | D=1625.5sym
   R30 : Acc=92.8% | Loss=0.267 | E=421.5J | D=1746.2sym
   R32 : Acc=93.6% | Loss=0.226 | E=449.6J | D=1865.2sym
   R34 : Acc=94.1% | Loss=0.197 | E=478.8J | D=1983.2sym
   R36 : Acc=94.5% | Loss=0.180 | E=505.3J | D=2099.0sym
   R38 : Acc=94.6% | Loss=0.169 | E=535.8J | D=2215.2sym
   R40 : Acc=94.9% | Loss=0.159 | E=563.1J | D=2333.0sym
   R42 : Acc=95.3% | Loss=0.148 | E=592.0J | D=2446.5sym
   R44 : Acc=95.5% | Loss=0.138 | E=619.3J | D=2562.8sym
   R46 : Acc=95.9% | Loss=0.129 | E=648.5J | D=2667.5sym
   R48 : Acc=96.1% | Loss=0.122 | E=676.6J | D=2778.8sym
   R50 : Acc=96.4% | Loss=0.117 | E=701.0J | D=2905.5sym
   R52 : Acc=96.5% | Loss=0.112 | E=727.3J | D=3015.5sym
   R54 : Acc=96.7% | Loss=0.106 | E=753.7J | D=3130.8sym
   R56 : Acc=96.8% | Loss=0.102 | E=780.9J | D=3253.5sym
   R58 : Acc=96.9% | Loss=0.098 | E=810.9J | D=3362.8sym
   R60 : Acc=97.1% | Loss=0.095 | E=835.6J | D=3468.2sym
   R62 : Acc=97.2% | Loss=0.092 | E=857.9J | D=3583.0sym
   R64 : Acc=97.2% | Loss=0.089 | E=888.9J | D=3697.5sym
   R66 : Acc=97.3% | Loss=0.087 | E=919.0J | D=3812.8sym
   R68 : Acc=97.3% | Loss=0.085 | E=943.2J | D=3931.0sym
   R70 : Acc=97.4% | Loss=0.083 | E=974.2J | D=4053.2sym
   R72 : Acc=97.5% | Loss=0.081 | E=993.8J | D=4172.8sym
   R74 : Acc=97.6% | Loss=0.080 | E=1017.5J | D=4304.8sym
   R76 : Acc=97.6% | Loss=0.078 | E=1045.7J | D=4413.8sym
