
--- Testing Combo: B=16, P_max=5.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_16bit_5.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=13.9% | Loss=2.296 | E=60.4J | D=251.2sym
   R4  : Acc=19.5% | Loss=2.283 | E=121.9J | D=535.0sym
   R6  : Acc=22.0% | Loss=2.255 | E=167.5J | D=798.2sym
   R8  : Acc=41.5% | Loss=2.175 | E=229.5J | D=1026.0sym
   R10 : Acc=65.4% | Loss=1.900 | E=285.5J | D=1258.0sym
   R12 : Acc=75.7% | Loss=1.242 | E=341.6J | D=1534.5sym
   R14 : Acc=81.5% | Loss=0.636 | E=387.5J | D=1808.8sym
   R16 : Acc=83.2% | Loss=0.592 | E=433.7J | D=2084.5sym
   R18 : Acc=82.6% | Loss=0.770 | E=489.8J | D=2345.8sym
   R20 : Acc=84.7% | Loss=0.753 | E=543.6J | D=2587.2sym
   R22 : Acc=87.8% | Loss=0.542 | E=603.0J | D=2854.0sym
   R24 : Acc=90.1% | Loss=0.359 | E=659.5J | D=3069.8sym
   R26 : Acc=91.3% | Loss=0.301 | E=720.8J | D=3353.5sym
   R28 : Acc=91.8% | Loss=0.308 | E=778.9J | D=3628.0sym
   R30 : Acc=92.9% | Loss=0.287 | E=850.3J | D=3860.5sym
   R32 : Acc=93.9% | Loss=0.234 | E=907.2J | D=4135.0sym
   R34 : Acc=94.7% | Loss=0.183 | E=984.8J | D=4369.8sym
   R36 : Acc=95.2% | Loss=0.152 | E=1046.7J | D=4582.2sym
   R38 : Acc=95.6% | Loss=0.138 | E=1106.4J | D=4846.2sym
   R40 : Acc=95.9% | Loss=0.131 | E=1158.7J | D=5125.8sym
   R42 : Acc=96.2% | Loss=0.124 | E=1202.9J | D=5385.5sym
   R44 : Acc=96.5% | Loss=0.115 | E=1252.4J | D=5664.8sym
   R46 : Acc=96.7% | Loss=0.108 | E=1307.2J | D=5951.0sym
   R48 : Acc=96.9% | Loss=0.102 | E=1361.1J | D=6229.8sym
   R50 : Acc=96.9% | Loss=0.098 | E=1427.4J | D=6477.8sym
   R52 : Acc=97.0% | Loss=0.096 | E=1479.8J | D=6759.2sym
   R54 : Acc=97.1% | Loss=0.092 | E=1557.3J | D=7011.5sym
   R56 : Acc=97.2% | Loss=0.089 | E=1618.7J | D=7270.2sym
   R58 : Acc=97.4% | Loss=0.085 | E=1679.7J | D=7560.5sym
