
--- Testing Combo: B=4, P_max=5.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_4bit_5.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=20.0% | Loss=2.290 | E=60.5J | D=94.5sym
   R4  : Acc=29.9% | Loss=2.265 | E=116.6J | D=183.2sym
   R6  : Acc=45.4% | Loss=2.185 | E=178.3J | D=254.5sym
   R8  : Acc=57.1% | Loss=1.891 | E=253.5J | D=344.8sym
   R10 : Acc=66.8% | Loss=1.222 | E=321.2J | D=424.5sym
   R12 : Acc=76.4% | Loss=0.721 | E=385.2J | D=507.8sym
   R14 : Acc=80.3% | Loss=0.691 | E=440.7J | D=596.0sym
   R16 : Acc=83.6% | Loss=0.746 | E=498.6J | D=674.5sym
   R18 : Acc=86.6% | Loss=0.631 | E=565.5J | D=747.8sym
   R20 : Acc=89.5% | Loss=0.404 | E=624.1J | D=824.0sym
   R22 : Acc=91.2% | Loss=0.289 | E=689.6J | D=917.8sym
   R24 : Acc=91.8% | Loss=0.285 | E=738.9J | D=1003.5sym
   R26 : Acc=92.9% | Loss=0.261 | E=797.0J | D=1086.5sym
   R28 : Acc=94.0% | Loss=0.212 | E=851.1J | D=1165.8sym
   R30 : Acc=94.8% | Loss=0.173 | E=916.0J | D=1252.5sym
   R32 : Acc=95.1% | Loss=0.156 | E=992.0J | D=1338.2sym
   R34 : Acc=95.4% | Loss=0.149 | E=1055.2J | D=1420.5sym
   R36 : Acc=95.7% | Loss=0.140 | E=1124.5J | D=1499.0sym
   R38 : Acc=96.0% | Loss=0.128 | E=1181.7J | D=1591.5sym
   R40 : Acc=96.4% | Loss=0.116 | E=1248.2J | D=1680.2sym
   R42 : Acc=96.8% | Loss=0.106 | E=1308.1J | D=1764.8sym
   R44 : Acc=96.8% | Loss=0.100 | E=1372.8J | D=1856.2sym
   R46 : Acc=97.0% | Loss=0.095 | E=1445.9J | D=1961.0sym
   R48 : Acc=97.2% | Loss=0.091 | E=1511.3J | D=2048.8sym
   R50 : Acc=97.3% | Loss=0.088 | E=1576.7J | D=2136.8sym
   R52 : Acc=97.5% | Loss=0.085 | E=1641.1J | D=2225.0sym
   R54 : Acc=97.5% | Loss=0.083 | E=1684.1J | D=2323.8sym
   R56 : Acc=97.5% | Loss=0.081 | E=1741.8J | D=2410.2sym
   R58 : Acc=97.5% | Loss=0.080 | E=1792.3J | D=2493.8sym
   R60 : Acc=97.6% | Loss=0.078 | E=1849.6J | D=2571.0sym
   R62 : Acc=97.6% | Loss=0.076 | E=1923.1J | D=2655.8sym
   R64 : Acc=97.7% | Loss=0.074 | E=1979.6J | D=2752.0sym
   R66 : Acc=97.8% | Loss=0.072 | E=2038.6J | D=2821.0sym
   R68 : Acc=97.7% | Loss=0.070 | E=2104.7J | D=2901.8sym
   R70 : Acc=97.8% | Loss=0.068 | E=2170.8J | D=2991.0sym
   R72 : Acc=97.8% | Loss=0.068 | E=2231.7J | D=3080.5sym
   R74 : Acc=97.9% | Loss=0.067 | E=2287.6J | D=3178.5sym
   R76 : Acc=97.9% | Loss=0.065 | E=2344.2J | D=3264.0sym
   R78 : Acc=97.9% | Loss=0.064 | E=2403.4J | D=3352.2sym
   R80 : Acc=98.0% | Loss=0.063 | E=2461.6J | D=3434.8sym
   R82 : Acc=98.0% | Loss=0.062 | E=2512.9J | D=3507.5sym
   R84 : Acc=98.0% | Loss=0.061 | E=2565.4J | D=3589.5sym
   R86 : Acc=98.0% | Loss=0.061 | E=2620.7J | D=3670.5sym
   R88 : Acc=98.1% | Loss=0.060 | E=2675.1J | D=3760.8sym
   R90 : Acc=98.1% | Loss=0.060 | E=2740.5J | D=3843.0sym
   R92 : Acc=98.2% | Loss=0.059 | E=2803.5J | D=3930.2sym
   R94 : Acc=98.2% | Loss=0.058 | E=2867.7J | D=4014.2sym
   R96 : Acc=98.2% | Loss=0.058 | E=2931.3J | D=4100.2sym
   R98 : Acc=98.2% | Loss=0.057 | E=2992.9J | D=4177.0sym
   R100: Acc=98.2% | Loss=0.056 | E=3040.9J | D=4252.5sym
>> Scheme: IDEAL ...
   R2  : Acc=10.4% | Loss=2.303 | E=0.0J | D=0.0sym
   R4  : Acc=14.5% | Loss=2.283 | E=0.0J | D=0.0sym
   R6  : Acc=30.1% | Loss=2.239 | E=0.0J | D=0.0sym
   R8  : Acc=41.7% | Loss=2.099 | E=0.0J | D=0.0sym
   R10 : Acc=56.0% | Loss=1.621 | E=0.0J | D=0.0sym
   R12 : Acc=64.7% | Loss=1.029 | E=0.0J | D=0.0sym
   R14 : Acc=73.3% | Loss=0.898 | E=0.0J | D=0.0sym
   R16 : Acc=76.0% | Loss=1.034 | E=0.0J | D=0.0sym
   R18 : Acc=80.4% | Loss=0.916 | E=0.0J | D=0.0sym
   R20 : Acc=84.0% | Loss=0.614 | E=0.0J | D=0.0sym
   R22 : Acc=84.5% | Loss=0.466 | E=0.0J | D=0.0sym
   R24 : Acc=86.1% | Loss=0.448 | E=0.0J | D=0.0sym
   R26 : Acc=88.8% | Loss=0.404 | E=0.0J | D=0.0sym
   R28 : Acc=91.4% | Loss=0.311 | E=0.0J | D=0.0sym
   R30 : Acc=92.5% | Loss=0.247 | E=0.0J | D=0.0sym
   R32 : Acc=93.0% | Loss=0.218 | E=0.0J | D=0.0sym
   R34 : Acc=93.6% | Loss=0.196 | E=0.0J | D=0.0sym
   R36 : Acc=94.3% | Loss=0.177 | E=0.0J | D=0.0sym
   R38 : Acc=94.8% | Loss=0.162 | E=0.0J | D=0.0sym
   R40 : Acc=95.1% | Loss=0.149 | E=0.0J | D=0.0sym
   R42 : Acc=95.6% | Loss=0.136 | E=0.0J | D=0.0sym
   R44 : Acc=96.0% | Loss=0.125 | E=0.0J | D=0.0sym
   R46 : Acc=96.2% | Loss=0.117 | E=0.0J | D=0.0sym
   R48 : Acc=96.5% | Loss=0.111 | E=0.0J | D=0.0sym
   R50 : Acc=96.7% | Loss=0.105 | E=0.0J | D=0.0sym
   R52 : Acc=96.9% | Loss=0.099 | E=0.0J | D=0.0sym
   R54 : Acc=97.0% | Loss=0.092 | E=0.0J | D=0.0sym
   R56 : Acc=97.2% | Loss=0.088 | E=0.0J | D=0.0sym
   R58 : Acc=97.3% | Loss=0.084 | E=0.0J | D=0.0sym
   R60 : Acc=97.5% | Loss=0.081 | E=0.0J | D=0.0sym
   R62 : Acc=97.6% | Loss=0.078 | E=0.0J | D=0.0sym
   R64 : Acc=97.7% | Loss=0.074 | E=0.0J | D=0.0sym
   R66 : Acc=97.7% | Loss=0.072 | E=0.0J | D=0.0sym
   R68 : Acc=97.8% | Loss=0.070 | E=0.0J | D=0.0sym
   R70 : Acc=97.8% | Loss=0.068 | E=0.0J | D=0.0sym
   R72 : Acc=97.8% | Loss=0.066 | E=0.0J | D=0.0sym
   R74 : Acc=97.8% | Loss=0.065 | E=0.0J | D=0.0sym
   R76 : Acc=97.9% | Loss=0.064 | E=0.0J | D=0.0sym
   R78 : Acc=97.9% | Loss=0.063 | E=0.0J | D=0.0sym
