
--- Testing Combo: B=16, P_max=2.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_16bit_2.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=14.6% | Loss=2.297 | E=26.6J | D=296.8sym
   R4  : Acc=18.3% | Loss=2.289 | E=50.0J | D=652.8sym
   R6  : Acc=22.1% | Loss=2.278 | E=77.1J | D=1008.5sym
   R8  : Acc=30.2% | Loss=2.258 | E=102.6J | D=1334.2sym
   R10 : Acc=49.2% | Loss=2.211 | E=127.6J | D=1729.0sym
   R12 : Acc=63.4% | Loss=2.076 | E=151.2J | D=2083.8sym
   R14 : Acc=69.7% | Loss=1.655 | E=181.0J | D=2402.8sym
   R16 : Acc=75.2% | Loss=0.953 | E=212.7J | D=2756.5sym
   R18 : Acc=79.3% | Loss=0.641 | E=237.5J | D=3133.5sym
   R20 : Acc=83.4% | Loss=0.623 | E=265.2J | D=3467.0sym
   R22 : Acc=86.9% | Loss=0.595 | E=290.5J | D=3815.5sym
   R24 : Acc=89.5% | Loss=0.520 | E=316.3J | D=4159.0sym
   R26 : Acc=90.6% | Loss=0.413 | E=344.2J | D=4527.2sym
   R28 : Acc=91.1% | Loss=0.319 | E=371.4J | D=4891.2sym
   R30 : Acc=91.4% | Loss=0.281 | E=395.8J | D=5310.5sym
   R32 : Acc=92.1% | Loss=0.266 | E=426.9J | D=5681.0sym
   R34 : Acc=93.0% | Loss=0.249 | E=454.4J | D=6081.2sym
   R36 : Acc=94.0% | Loss=0.217 | E=486.5J | D=6386.2sym
   R38 : Acc=94.7% | Loss=0.187 | E=512.4J | D=6762.0sym
   R40 : Acc=95.2% | Loss=0.167 | E=534.6J | D=7140.5sym
   R42 : Acc=95.5% | Loss=0.152 | E=564.7J | D=7458.2sym
   R44 : Acc=95.9% | Loss=0.141 | E=593.5J | D=7811.0sym
   R46 : Acc=96.0% | Loss=0.131 | E=620.0J | D=8142.2sym
   R48 : Acc=96.2% | Loss=0.123 | E=643.4J | D=8524.2sym
   R50 : Acc=96.4% | Loss=0.116 | E=674.2J | D=8854.5sym
   R52 : Acc=96.5% | Loss=0.111 | E=695.1J | D=9268.8sym
   R54 : Acc=96.6% | Loss=0.106 | E=723.2J | D=9648.0sym
